"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"Artedius fenestralis","Jordan & Gilbert, 1883","","padded sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Artedius","fenestralis","","","","native","SNR","","confirmed","observed","1968-08-02","Andy Lamb","PMLS","","","2013-10-13","Peter Luckham","http://www.inaturalist.org/observations/2976334","","117527","FIS"
"Artedius harringtoni","(Starks, 1896)","","scalyhead sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Artedius","harringtoni","","","","native","SNR","","confirmed","observed","1969-02-21","Andy Lamb","PMLS","","","2015-01-01","Peter Luckham","http://www.inaturalist.org/observations/2797281","","117528","FIS"
"Artedius lateralis","(Girard, 1854)","","smoothhead sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Artedius","lateralis","","","","native","SNR","","confirmed","observed","1985-12-08","Charlie Gibbs","PMLS","","","2020-08-13","Andrew Simon","https://www.inaturalist.org/observations/56373896","","117529","FIS"
"Ascidia columbiana","(Huntsman, 1912)","","sea blisters","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Ascidiidae","","","Ascidia","columbiana","","","","native","unlisted","","reported","unobserved","2011-11-18","Andy Lamb","PMLS","","","","","","","428617","TUN"
"Ascidia paratropa","(Huntsman, 1912)","","glassy tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Ascidiidae","","","Ascidia","paratropa","","","","native","unlisted","","reported","unobserved","1969-02-21","Andy Lamb","PMLS","","","","","","","415129","TUN"
"Asemichthys taylori","Gilbert, 1912","","spinynose sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Asemichthys","taylori","","","","native","SNR","","confirmed","observed","1973-09-20","Andy Lamb","PMLS","","","2013-10-13","Peter Luckham","http://www.inaturalist.org/observations/2975888","","172639","FIS"
"Aulorhynchus flavidus","Gill, 1861","","tubesnout","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Gasterosteiformes","","","Aulorhynchidae","","","Aulorhynchus","flavidus","","","","native","SNR","","reported","unobserved","1994-02-27","Charlie Gibbs","PMLS","","","","","","","117568","FIS"
"Aurelia labiata","Chamisso & Eysenhardt, 1821","","moon jelly","Animalia","Cnidaria","","","Scyphozoa","Discomedusae","","Semaeostomeae","","","Ulmaridae","Aureliinae","","Aurelia","labiata","","","","native","unlisted","","confirmed","observed","1996-09-28","Charlie Gibbs","PMLS","","","2015-06-21","Karolle Wall","http://www.inaturalist.org/observations/3706338","","130235","CNI"
"Axinopsida serricata","(Carpenter, 1864)","","lenticular axinopsid","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Lucinida","","Thyasiroidea","Thyasiridae","","","Axinopsida","serricata","","","","native","unlisted","","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03315","1898280832","","","","","977317","MOL"
"Balaenoptera acutorostrata","Lacépède, 1804","","northern minke whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Balaenoptera","acutorostrata","","","","native","S4N (2006)","","reported","unobserved","2004-10-04","Amy Rowley","BCCSN","","","","","","","41550","MAM"
"Balaenoptera physalus","(Linnaeus, 1758)","","fin whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Balaenoptera","physalus","","","","native","S2N (2006)","","reported","unobserved","2007-05-17","Amy Rowley","BCCSN","","","","","","","41562","MAM"
"Balanophyllia (Balanophyllia) elegans","Verrill, 1864","","orange cup coral","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Scleractinia","Dendrophylliina","","Dendrophylliidae","","","Balanophyllia","(Balanophyllia)","elegans","","","native","unlisted","","confirmed","observed","1969-02-21","Andy Lamb","PMLS","","","2007-10-23","Jackson Chu","https://www.inaturalist.org/observations/24792362","","51799","CNI"
"Balanus crenatus","Bruguière, 1789","","common acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","","Sessilia","Balanomorpha","Balanoidea","Balanidae","","","Balanus","crenatus","","","","native","unlisted","","confirmed","observed","1969-02-22","Andy Lamb","PMLS","","","2019-01-25","awworld","https://www.inaturalist.org/observations/19886394","","117672","ART"
"Balanus glandula","Darwin, 1854","","common acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","","Sessilia","Balanomorpha","Balanoidea","Balanidae","","","Balanus","glandula","","","","native","unlisted","","confirmed","observed","1969-02-22","Andy Lamb","PMLS","","","2015-08-28","Andrew Simon","http://www.inaturalist.org/observations/2580675","","81610","ART"
"Balanus nubilus","Darwin, 1854","","giant acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","","Sessilia","Balanomorpha","Balanoidea","Balanidae","","","Balanus","nubilus","","","","native","unlisted","","confirmed","observed","1986-04-08","","RBCM","986-00191-002","","2013-10-13","Peter Luckham","http://www.inaturalist.org/observations/2975823","","49127","ART"
