"","area","Family","TaxonName","iNatTaxon","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon"
"16","ogi","Amaryllidaceae","Allium geyeri var. tenerum","Allium geyeri tenerum","Owl Island near Prevost Island. Rock Outcrop. 8 clumps in two spots at one site only with Grindelia stricta, rocky point near saltspray zone. Sinclair, MD, FL.","","","","Allium geyeri tenerum"
"17","ogi","Amaryllidaceae","Allium vineale","Allium vineale","Meadows and old fields occasional escape. Mayne and Galiano.","","","","Allium vineale"
"18","ogi","Amaryllidaceae","Galanthus nivalis","Galanthus nivalis","Galiano location Active pass Rd and in Cemetary. Persisting in old, abandoned gardens and flower beds.","","","","Galanthus nivalis"
"19","ogi","Amaryllidaceae","Narcissus pseudonarcissus","Narcissus pseudonarcissus","Persisting from cultivation","","","","Narcissus pseudonarcissus"
"20","ogi","Anacardiaceae","Toxicodendron diversilobum","Toxicodendron diversilobum","Dry woods and exposed rocky places; Galiano and Valdez. DeCourcy also.","","","","Toxicodendron diversilobum"
"21","ogi","Apiaceae","Angelica genuflexa","Angelica genuflexa","HLR Bodega Ridge, Galiano 1995 ( id? Poss lucida), TRA Mayne date?location?","","","","Angelica genuflexa"
"22","ogi","Apiaceae","Anthriscus caucalis","Anthriscus caucalis","FL Prevost Island 2004, Port Browning, N Pender 2003, A&OC De Courcy 1980, Calder Virago Point, Galiano 1961, HJ Bellhouse Park, Galiano 1999. Cabbage Island Erickson-McGee iNaturalist report 2020. Widespread on small islets throughout.","","","AS","Anthriscus caucalis"
"23","ogi","Apiaceae","Anthriscus cerefolium","Anthriscus cerefolium","K Wall inaturalist observation Panda Bay, N Pender 2020.","","","","Anthriscus cerefolium"
"24","ogi","Apiaceae","Carum carvi","Carum carvi","HJ Bedwell Harbour salt marsh and beach 1979.","","","","Carum carvi"
"25","ogi","Apiaceae","Cicuta douglasii","Cicuta douglasii","HJ Galiano Sphagnum bog 1975, JKH N Pender 1896","","","","Cicuta douglasii"
"26","ogi","Apiaceae","Conioselinum pacificum","Conioselinum gmelinii","Beaches and sandy shorelines, all islands.","","","","Conioselinum gmelinii"
"27","ogi","Apiaceae","Conium maculatum","Conium maculatum","HJ Narvaez Bay driveways, Saturna 2020. Shore access, Active Pass Drive, Galiano. Shark Pl. N Pender 2020.","","","","Conium maculatum"
"28","ogi","Apiaceae","Daucus carota","Daucus carota","Roadsides, cultivated ground, meadows, all islands.","","","","Daucus carota"
"29","ogi","Apiaceae","Daucus pusillus","Daucus pusillus","Dry, open places, grassy bluffs, all islands.","","","","Daucus pusillus"
"30","ogi","Apiaceae","Eryngium planum","Eryngium planum","Escaping along Hooson Road, N Pender.","","","","Eryngium planum"
"31","ogi","Apiaceae","Heracleum mantegazzianum","Heracleum mantegazzianum","Roadside, North Pender.","","","","Heracleum mantegazzianum"
"32","ogi","Apiaceae","Heracleum maximum","Heracleum maximum","HJ Winter Cove, Saturna in shorline in Rosa nutkana thicket 1989.","","","","Heracleum maximum"
"33","ogi","Apiaceae","Lomatium grayi","Lomatium grayi","HJ sea cliffs below Bodega Ridge, Galiano 1982. Now treated as Lomatium papilioniferum J.A. Alexander & W. Whaley. BC material was previously misapplied as Lomatium grayi. Lomatium grayi s.s. occurs only in SE Idaho, Colorado, Utah, Wyoming and New Mexico (Alexander et al. 2018).","","Lomatium papilioniferum?","AS","Lomatium grayi"
"34","ogi","Apiaceae","Lomatium nudicaule","Lomatium nudicaule","Seaside meadows, grassy shorelines and banks, all islands.","","","AS","Lomatium nudicaule"
"35","ogi","Apiaceae","Lomatium utriculatum","Lomatium utriculatum","Grassy bluffs, rocky meadows, all islands.","","","AS","Lomatium utriculatum"
"36","ogi","Apiaceae","Oenanthe sarmentosa","Oenanthe sarmentosa","Pools and streams in shady woods, lake edges and ditches, all islands.","","","","Oenanthe sarmentosa"
"37","ogi","Apiaceae","Osmorhiza berteroi","Osmorhiza berteroi","Open woodlands, trails, all islands.","","","","Osmorhiza berteroi"
"38","ogi","Apiaceae","Pastinaca sativa","Pastinaca sativa","TRA Higgs Point, S Pender 1957","","","","Pastinaca sativa"
"39","ogi","Apiaceae","Perideridia montana","Perideridia gairdneri","Straley Georgeson Bay Road, Galiano 1989. HJ Moss balds north slope of Mt Sutile, Galiano 2003. HJ Brown Ridge, Saturna 1986.","","","","Perideridia gairdneri"
"40","ogi","Apiaceae","Petroselinum crispum","Petroselinum crispum","FL Sturdies Bay ferry dock, Galiano, sandstone ledges and scree above beach; growing with Tanacetum parthenium, 2014. On Lomer & Penny's non-established list.","","","","Petroselinum crispum"
"41","ogi","Apiaceae","Sanicula bipinnatifida","Sanicula bipinnatifida","HLR Dionisio Point, Galiano 1993. HJ East Point, Saturna 1994, HJ&MF Brown Ridge, Saturna 1995.","","","","Sanicula bipinnatifida"
"42","ogi","Apiaceae","Sanicula crassicaulis","Sanicula crassicaulis","Dry transitional forest, rocky slopes above salt water, all islands. Vars crassicaulis and tripartata both reported for Galiano.","","","","Sanicula crassicaulis"
"43","ogi","Apiaceae","Torilis arvensis","Torilis arvensis","HJ Saturna vineyard fields, roadsides Saturna 2020. HJ Village Bay Ferry terminal, Mayne 2020. AS Galiano 2020.","","","","Torilis arvensis"
"44","ogi","Apiaceae","Torilis japonica","Torilis japonica","HJ Mt Sutil grassy bluffs, Galiano 1976. HJ Saturna Brown Ridge 2003. AS Tapovan Peace Park 2016. FL Valdez Island 2008.","","","","Torilis japonica"
"45","ogi","Apiaceae","Yabea microcarpa","Yabea microcarpa","HJ Brown Ridge and Mt Fisher Saturna, Calder Mt Norman, S Pender 1961, AS Galiano 2016","","","AS","Yabea microcarpa"
"46","ogi","Apocynaceae","Apocynum androsaemifolium","Apocynum androsaemifolium","HJ Mt Fisher, Saturna 1982, Hydro Cut Montague, Galiano 1984, Heck Hill, Mayne 1982.","","","AS","Apocynum androsaemifolium"
"47","ogi","Apocynaceae","Vinca major","Vinca major","Abandoned garden persistant, Saturna, Mayne, Galiano.","","","AS","Vinca major"
"48","ogi","Apocynaceae","Vinca minor","Vinca minor","Neglected lots and roadsides; a garden escapee, Mayne, Galiano, N Pender.","","","AS","Vinca minor"
"49","ogi","Aquifoliaceae","Ilex aquifolium","Ilex aquifolium","Adventive in moist woods, Galiano, Mayne, Saturna, N Pender","","","AS","Ilex aquifolium"
"50","ogi","Araceae","Lemna minor","Lemna minor","Quiet standing water, lakes and ponds throughout. All islands. Many reports may be in error (name misapplied to native L. minuta) Re-check.","","","","Lemna minor"
"51","ogi","Araceae","Lemna minuta","Lemna minuta","HLR ER 128 Sphagnum Bog Galiano 2019","","","","Lemna minuta"
"52","ogi","Araceae","Lemna trisulca","Lemna trisulca","Quiet ponds and lake margins. Known from Saturna, Galiano and N Pender.","","","","Lemna trisulca"
"53","ogi","Araceae","Lemna turionifera","Lemna turionifera","AS Mt Sutil ravine lake Galiano 2017.","","","","Lemna turionifera"
"54","ogi","Araceae","Lysichiton americanus","Lysichiton americanus","Fens, wet spots, drainage channels. Common Galiano and North Pender. Absent S Pender, Mayne and Saturna.","","","AS","Lysichiton americanus"
"55","ogi","Araceae","Spirodela polyrrhiza","Spirodela polyrhiza","Quiet standing water, lakes and ponds. Known from Saturna, Galiano and S Pender.","","","","Spirodela polyrhiza"
"56","ogi","Araceae","Wolffia columbiana","Wolffia columbiana","Calm, standing water , Lakes Saturna, Galiano, North Pender. Expect all islands.","","","AS","Wolffia columbiana"
"57","ogi","Araliaceae","Hedera helix","Hedera helix","Escaping into lowland, mesic forest, all islands.","","","","Hedera helix"
"58","ogi","Araliaceae","Hydrocotyle ranunculoides","Hydrocotyle ranunculoides","HLR report Prevost Island. CDC 2008 update: Formerly not considered part of the flora in BC, this species is now considered historic (possibly extirpated) native taxon.","","","","Hydrocotyle ranunculoides"
"59","ogi","Asparagaceae","Asparagus officinalis","Asparagus officinalis","Occasionally escaping, waste ground. Collected from Mayne and Galiano.","","","","Asparagus officinalis"
"60","ogi","Asparagaceae","Brodiaea coronaria","Brodiaea coronaria","Dry, open, grassy slopes and rocky outcrops. All islands.","","","","Brodiaea coronaria"
"61","ogi","Asparagaceae","Camassia leichtlinii ssp. suksdorfii","Camassia leichtlinii suksdorfii","South facing bluffs, shelves isolated from grazing. All islands.","","","","Camassia leichtlinii suksdorfii"
"62","ogi","Asparagaceae","Camassia quamash ssp. maxima","Camassia quamash maxima","Rare on islands; occuring with C. leichtlinii.","","","","Camassia quamash maxima"
"63","ogi","Asparagaceae","Chionodoxa luciliae","Scilla luciliae","Reported as Scilla luciliae (Boissier) Speta Bellhouse Park, Galiano Colwell 2016. 100+ years persistant Saturna Beach area, Saturna. On Lomer & Penny's non-established list.","not in FPNW2","","","Scilla luciliae"
"64","ogi","Asparagaceae","Hyacinthoides hispanica","Hyacinthoides hispanica","Persisting from cultivation along with H. non-scripta. Straley Sturdies Bay, Galiano 1983.","","reports of Hyacinthoides hispanica likely refer to Hyacinthoides × massartiana; see remarks from QC: ""Commonly naturalized in the LM and is a persistent relic of cult in SGI. Both H. hispanica and H. non-scripta are cultivated in BC but I have never seen them naturalized.""; PD & AM also report Hyacinthoides × massartiana","AS, QC","Hyacinthoides hispanica"
"65","ogi","Asparagaceae","Hyacinthoides massartiana","Hyacinthoides × massartiana","Persisting from cultivation, AS Montague Harbour, Galiano 2017.","","see Hyacinthoides hispanica","AS, QC","Hyacinthoides × massartiana"
"66","ogi","Asparagaceae","Maianthemum dilatatum","Maianthemum dilatatum","Moist to dry open forest Mayne, Galiano and North Pender. Rare on Saturna and South Pender.","","","AS","Maianthemum dilatatum"
"67","ogi","Asparagaceae","Maianthemum racemosum ssp. amplexicaule","Maianthemum racemosum amplexicaule","HJ Creek draining into Georgeson Bay, Galiano 1980. L Baile Mt Elizabeth Park, N Pender 2020.","","","AS","Maianthemum racemosum amplexicaule"
"68","ogi","Asparagaceae","Maianthemum stellatum","Maianthemum stellatum","Mayne. Marshy ground with aspen, Edith Point","","","AS","Maianthemum stellatum"
"69","ogi","Asparagaceae","Muscari armeniacum","Muscari armeniacum","Magner Galiano 2015. habitat?","","","","Muscari armeniacum"
"70","ogi","Asparagaceae","Ornithogalum umbellatum","Ornithogalum umbellatum","Persisting from cultivation. Galiano location?","","","","Ornithogalum umbellatum"
"71","ogi","Asparagaceae","Triteleia grandiflora","Triteleia grandiflora","Tweedale dry shoreline forest Linklater Road Galiano 2018. Possibly T. howellii? HJ - We were never able to find another individual at this location. AS","","","AS","Triteleia grandiflora"
"72","ogi","Asparagaceae","Triteleia hyacinthina","Triteleia hyacinthina","Grassy slopes on bluffs, all islands.","","","AS","Triteleia hyacinthina"
"73","ogi","Aspleniaceae","Asplenium trichomanes","Asplenium trichomanes","Otter Bay woods below road North Pender. Ledges and cliffs Breezy Bay and west side Boot Cove, Saturna. Huggins trail off McCoskrie Road, Galiano. Several iNaturalist reports Galiano.","","","","Asplenium trichomanes"
"74","ogi","Asteraceae","Achillea millefolium","Achillea millefolium","Roadsides, disturbed ground, all islands.","","mention the mess / native infrataxa?","AS","Achillea millefolium"
"75","ogi","Asteraceae","Adenocaulon bicolor","Adenocaulon bicolor","Moist, shady woods, all islands.","","","AS","Adenocaulon bicolor"
"76","ogi","Asteraceae","Agoseris grandiflora var. leptophylla","Agoseris grandiflora leptophylla","Grassy bluffs, all islands.","","","AS","Agoseris grandiflora leptophylla"
"77","ogi","Asteraceae","Agoseris heterophylla","Agoseris heterophylla","Grassy bluffs and ridges, all islands.","","","","Agoseris heterophylla"
"78","ogi","Asteraceae","Ambrosia chamissonis","Ambrosia chamissonis","Sandy beaches, shoreline dunes, all islands.","","","","Ambrosia chamissonis"
"79","ogi","Asteraceae","Anaphalis margaritacea","Anaphalis margaritacea","Open woods and roadsides, all islands.","","","AS","Anaphalis margaritacea"
"80","ogi","Asteraceae","Anisocarpus madioides","Anisocarpus madioides","Dry, open Douglas-fir woodlands, all islands.","","","AS","Anisocarpus madioides"
"81","ogi","Asteraceae","Anthemis arvensis","Anthemis arvensis","HJ N Pender 1981, FN N Pender 2006.","","","","Anthemis arvensis"
"82","ogi","Asteraceae","Anthemis cotula","Anthemis cotula","Roadsides, waste ground, all islands.","","","","Anthemis cotula"
"83","ogi","Asteraceae","Arctium minus","Arctium minus","Waste ground, roadside, all islands.","","","AS","Arctium minus"
"84","ogi","Asteraceae","Artemisia absinthium","Artemisia absinthium","TRA Mayne date? location? Cullen Mortimer Spit, S Pender iNaturalist observation 2020.","","","","Artemisia absinthium"
"85","ogi","Asteraceae","Artemisia campestris var. scouleriana","Artemisia campestris pacifica","Open, grassy shoreline cliffs, all islands.","","","AS","Artemisia campestris pacifica"
"86","ogi","Asteraceae","Artemisia suksdorfii","Artemisia suksdorfii","Bluffs and beaches, all islands.","","","AS","Artemisia suksdorfii"
"87","ogi","Asteraceae","Bellis perennis","Bellis perennis","Lawns, meadows, pastures, waste ground, all islands.","","","AS","Bellis perennis"
"88","ogi","Asteraceae","Bidens amplissima","Bidens amplissima","HJ Pond edge,Blackbird Hill, Scirpus wetland, Winter Cove Park, Saturna. Chatwin Spotlight Cove Galiano 2012. Chytyk same 2012. AS ER128 Galiano 2020.","","","","Bidens amplissima"
"89","ogi","Asteraceae","Bidens cernua","Bidens cernua","AS Divina Road, Galiano 2016. AS Cook Rd Galiano 2020.","","","","Bidens cernua"
"90","ogi","Asteraceae","Bidens frondosa","Bidens frondosa","HJ Fen in Winter Cove, Saturna 1998.","","","","Bidens frondosa"
"91","ogi","Asteraceae","Carthamus creticus","Carthamus creticus","Collected once in pasture, Mayne HJ. Not persisting. On Lomer & Penny's non-established list.","not in FPNW2","","","Carthamus creticus"
"92","ogi","Asteraceae","Centaurea cyanus","Centaurea cyanus","Roadsides, and waste places;Saturna, Galiano, especially widespread N Pender","","","","Centaurea cyanus"
"93","ogi","Asteraceae","Centaurea melitensis","Centaurea melitensis","Samuel Island and Georgeson Island. Steep, grassy south-facing slopes just above salt water. HJ Tumbo Island 2007. Collection same places HLR. Also Fenneman Tumbo 2007.","","","","Centaurea melitensis"
"94","ogi","Asteraceae","Centaurea nigra","Centaurea nigra","HJ Farm field North Pender 1981.","","","","Centaurea nigra"
"95","ogi","Asteraceae","Cichorium intybus","Cichorium intybus","Roadsides, farm fields, meadows, all islands.","","","","Cichorium intybus"
"96","ogi","Asteraceae","Cirsium arvense","Cirsium arvense","Roadsides, disturbed ground, fields, all islands.","","","","Cirsium arvense"
"97","ogi","Asteraceae","Cirsium brevistylum","Cirsium brevistylum","Roadsides, disturbed ground, fields, all islands.","","","","Cirsium brevistylum"
"98","ogi","Asteraceae","Cirsium vulgare","Cirsium vulgare","Disturbed ground, fields and roadside, all islands.","","","","Cirsium vulgare"
"99","ogi","Asteraceae","Conyza canadensis","Erigeron canadensis","Waste places and disturbed soil, farm yards, all islands.","","","","Erigeron canadensis"
"100","ogi","Asteraceae","Cotula coronopifolia","Cotula coronopifolia","TRA S Pender date? Location?, HJ Tumbo Island, Cabbage Island 1993.","","","","Cotula coronopifolia"
"101","ogi","Asteraceae","Crepis capillaris","Crepis capillaris","Roadsides, waste places, all islands.","","","","Crepis capillaris"
"102","ogi","Asteraceae","Crepis nicaeensis","Crepis nicaeensis","Mayne location? Collection at CAN. Collector? Removed from BC checklist -no specimines 70+ years.","","","","Crepis nicaeensis"
"103","ogi","Asteraceae","Crepis vesicaria ssp. taraxacifolia","Crepis vesicaria taraxacifolia","Eastham lists for Mayne, location? Not present GD.","","","","Crepis vesicaria taraxacifolia"
"104","ogi","Asteraceae","Crocidium multicaule","Crocidium multicaule","JP,GD,HJ Kendrick Island 1998. HJ steep, seepy rock faces, Saturna 1974,1983. HJ Mt Sutil 1978.","","","","Crocidium multicaule"
"105","ogi","Asteraceae","Doronicum pardalianches","Doronicum pardalianches","AS Montague Harbour parking lot 2017.","","","","Doronicum pardalianches"
"106","ogi","Asteraceae","Echinops sphaerocephalus","Echinops sphaerocephalus","AS Mt Sutil, Galiano 2018.","","","","Echinops sphaerocephalus"
"107","ogi","Asteraceae","Eriophyllum lanatum var. leucophyllum","Eriophyllum lanatum leucophyllum","Grassy bluffs and ledges, all islands.","","","","Eriophyllum lanatum leucophyllum"
"108","ogi","Asteraceae","Eutrochium maculatum var. bruneri","Eutrochium maculatum bruneri","Eastham lists in Prelim Flora of VI and QCI for Saturna. No collection vouchers known.","","","","Eutrochium maculatum bruneri"
"109","ogi","Asteraceae","Filago arvensis","Filago arvensis","HLR Blunden Island 2005.","","","","Filago arvensis"
"110","ogi","Asteraceae","Filago pyramidata","Filago pyramidata","Note HJ 1974 collection in H&C2018. I generally treated Filago from islands as F. germanica = F. vulgaris","","","","Filago pyramidata"
"111","ogi","Asteraceae","Galinsoga quadriradiata","Galinsoga quadriradiata","HJ large garden, Mayne 1994, Winery fields, Saturna 2002. AS Galiano 2018.","","","","Galinsoga quadriradiata"
"112","ogi","Asteraceae","Gamochaeta ustulata","Gamochaeta ustulata","Roadside vernal pools, disturbed ground, all islands.","","","","Gamochaeta ustulata"
"113","ogi","Asteraceae","Gnaphalium palustre","Gnaphalium palustre","Roadside vernal pools, disturbed ground, all islands.","","","","Gnaphalium palustre"
"114","ogi","Asteraceae","Gnaphalium uliginosum","Gnaphalium uliginosum","Roadside vernal pools, disturbed ground, all islands.","","","","Gnaphalium uliginosum"
"115","ogi","Asteraceae","Grindelia hirsutula","Grindelia hirsutula","K&J Miskelly Galiano 2017. location? Saleh MacClure Rd, Galiano 1970.","","","","Grindelia hirsutula"
"116","ogi","Asteraceae","Grindelia integrifolia","Grindelia integrifolia","Coastal bluffs, beaches, salt marshes and meadows, all islands. =G. stricta on Galiano list?","","","","Grindelia integrifolia"
"117","ogi","Asteraceae","Grindelia squarrosa","Grindelia squarrosa","AC re-id HJ collections A143 and 629 Mayne and Galiano as G. s.","","","","Grindelia squarrosa"
"118","ogi","Asteraceae","Hieracium albiflorum","Hieracium albiflorum","Dry, open coniferous forest and margins, all islands.","","","","Hieracium albiflorum"
"119","ogi","Asteraceae","Hieracium aurantiacum","Pilosella aurantiaca","Roadsides, waste ground, Saturna, Galiano. Doesn't appear to spread easily in area.","","","","Pilosella aurantiaca"
"120","ogi","Asteraceae","Hypochaeris glabra","Hypochaeris glabra","Roadside, disturbed and waste ground, all islands.","","","AS","Hypochaeris glabra"
"121","ogi","Asteraceae","Hypochaeris radicata","Hypochaeris radicata","Lawns, cultivated ground, waste ground, all islands.","","","AS","Hypochaeris radicata"
"122","ogi","Asteraceae","Jacobaea maritima","Jacobaea maritima","Persisting along rocky shoreline, Boot Cove, Saturna. Galiano location?","","","","Jacobaea maritima"
"123","ogi","Asteraceae","Jacobaea vulgaris","Jacobaea vulgaris","Roadside and logging roads, widespread all islands, spreading aggressivly. Cinnabar moths too.","","","","Jacobaea vulgaris"
"124","ogi","Asteraceae","Jaumea carnosa","Jaumea carnosa","Salt marshes and mud flats Saturna, Cabbage, Tumbo. JP N Pender 1996.","","","","Jaumea carnosa"
"125","ogi","Asteraceae","Lactuca serriola","Lactuca serriola","Roadsides, fields and waste places, all islands.","","","","Lactuca serriola"
"126","ogi","Asteraceae","Lapsana communis","Lapsana communis","Roadside, disturbed ground, forest edges, all islands.","","","","Lapsana communis"
"127","ogi","Asteraceae","Leontodon autumnalis","Scorzoneroides autumnalis","RLT Helen Point, Mayne 1978. Straley Mayne 1987, TRA N Pender 1958.","","","","Scorzoneroides autumnalis"
"128","ogi","Asteraceae","Leontodon saxatilis","Leontodon saxatilis","Lawns, roadsides and waste places, all islands.","","","","Leontodon saxatilis"
"129","ogi","Asteraceae","Leucanthemum vulgare","Leucanthemum vulgare","Fields, roadsides, and waste places, all islands.","","","","Leucanthemum vulgare"
"130","ogi","Asteraceae","Luina hypoleuca","Luina hypoleuca","FL Prevost Island 2004.","","","","Luina hypoleuca"
"131","ogi","Asteraceae","Madia exigua","Madia exigua","Roadsides, grassy ridges, all islands.","","","AS","Madia exigua"
"132","ogi","Asteraceae","Madia glomerata","Madia glomerata","Roadsides, dry open places, all islands.","","","","Madia glomerata"
"133","ogi","Asteraceae","Madia gracilis","Madia gracilis","Grassy bluffs and ledges, all islands.","","","AS","Madia gracilis"
"134","ogi","Asteraceae","Madia sativa","Madia sativa","Roadsides, all islands.","","","AS","Madia sativa"
"135","ogi","Asteraceae","Matricaria discoidea","Matricaria discoidea","Roadsides, disturbed ground, all islands.","","","","Matricaria discoidea"
"136","ogi","Asteraceae","Mycelis muralis","Mycelis muralis","Open, mesic forest, all islands.","","","AS","Mycelis muralis"
"137","ogi","Asteraceae","Petasites frigidus var. palmatus","Petasites frigidus palmatus","Roadside and moist forest Galiano.","","","","Petasites frigidus palmatus"
"138","ogi","Asteraceae","Petasites hybridus","Petasites hybridus","FL shoreline Greenburn Lake, S Pender 2006.","","","","Petasites hybridus"
"139","ogi","Asteraceae","Petasites japonicus","Petasites japonicus","HJ Piggot Bay ditch, Mayne 1980. Also Indian Reserve, Galiano, Thieves Bay, N Pender.","","","","Petasites japonicus"
"140","ogi","Asteraceae","Pseudognaphalium stramineum","Pseudognaphalium stramineum","HJ Logging road, Mt Park on Mayne 1975, Dinner Point Mayne 1980, Mt Sutil gravel pit Galiano 1981, salt marsh Parker Island 1981, Winter Cove Park roadside also East Point helicopter pad Saturna 1983. FL Ferry Terminal N Pender 2003. Bedwell Harbour shoreline, S Pender 2019.","","","","Pseudognaphalium stramineum"
"141","ogi","Asteraceae","Pseudognaphalium thermale","Pseudognaphalium thermale","Logged areas, roadsides, disturbed ground, all islands.","","","","Pseudognaphalium thermale"
"142","ogi","Asteraceae","Psilocarphus tenellus","Psilocarphus tenellus","FL Gowland Point Rd and foot of Higgs Road, S Pender 2003, 2006. HJ old dump area Saturna 2020.","","","","Psilocarphus tenellus"
"143","ogi","Asteraceae","Santolina chamaecyparissus","Santolina chamaecyparissus","TRA N Pender. HJ Lighthouse Point, Prevost Island, persisting but not apparently established.","not in FPNW2","","","Santolina chamaecyparissus"
"144","ogi","Asteraceae","Senecio sylvaticus","Senecio sylvaticus","Disturbed soil and waste places, all islands.","","","","Senecio sylvaticus"
"145","ogi","Asteraceae","Senecio vulgaris","Senecio vulgaris","Roadsides, waste ground, cultivated ground, all islands","","","","Senecio vulgaris"
"146","ogi","Asteraceae","Silybum marianum","Silybum marianum","HJ Highways yard N Pender 1979. Garden Port Washington, N Pender 1981.","","","","Silybum marianum"
"147","ogi","Asteraceae","Solidago lepida var. lepida","Solidago lepida lepida","Grassy places and open woods, all islands. Generally rare on Gulf Islands.","","","","Solidago lepida lepida"
"148","ogi","Asteraceae","Soliva sessilis","Soliva sessilis","Headley Lovers Leap view point Galiano 2019, HJ Winter Cove Park picnic area Saturna 2016. Cruickshank Portland Island 2016 Naturalist observation.","","","","Soliva sessilis"
"149","ogi","Asteraceae","Sonchus arvensis ssp. uliginosus","Sonchus arvensis uliginosus","Landward edges of salt marshes, beach shoreline, all islands.","","","","Sonchus arvensis uliginosus"
"150","ogi","Asteraceae","Sonchus asper","Sonchus asper","Disturbed ground, cultivated ground, all islands.","","","","Sonchus asper"
"151","ogi","Asteraceae","Sonchus oleraceus","Sonchus oleraceus","Disturbed ground, cultivated ground, all islands.","","","","Sonchus oleraceus"
"152","ogi","Asteraceae","Symphyotrichum chilense","Symphyotrichum chilense","AW Galiano 1975, HJ DL3 Galiano 1982. BT (?name) Porlier Pass Road, Galiano 1966. S. chilensis x subspicatum reported for Galiano, documentation?","","","","Symphyotrichum chilense"
"153","ogi","Asteraceae","Symphyotrichum novi-belgii var. novi-belgii","Symphyotrichum novi-belgii novi-belgii","AS Lion's park, Galiano 2016. established? On Lomer & Penny's non-established list. Established garden escape in Metro Vancouver (including various cultivars or derivatives). Most weedy plants encountered in SW BC that look like S. chilense or S. subspicatum, or S. douglasii are this species (J. Fenneman, pers. comm. 2017).","not in FPNW2","","","Symphyotrichum novi-belgii novi-belgii"
"154","ogi","Asteraceae","Symphyotrichum subspicatum","Symphyotrichum subspicatum","All specimines need re-examination.","","","","Symphyotrichum subspicatum"
