Polygon #,habitat,Dominance,Common name,scientificName,% cover
13,Pond,1,Grass-Leaved Pondweed ,Potamogeton gramineus,50
26,,,Hardhack ,Spirea douglasii spp. douglasii,1
2,,1,Kentucky bluegrass,Poa pratensis,40
3,Disturbed grass,2,Kentucky bluegrass,Poa pratensis,35
6,,3,Kentucky bluegrass,Poa pratensis,5
17,Lake shore-grass,,Kentucky bluegrass,Poa pratensis,P
25,,,Kentucky bluegrass,Poa pratensis,P
8,,3,Kentucky bluegrass ,Poa pratensis,12
10,,3,Kentucky bluegrass ,Poa pratensis,12
19,Lake shore-rock/grass,1,Kentucky bluegrass ,Poa pratensis,15
35,,1,Kentucky bluegrass ,Poa pratensis,35
37,,2,Kentucky bluegrass ,Poa pratensis,25
42,,3,Kentucky bluegrass ,Poa pratensis,8
43,,1,Kentucky bluegrass ,Poa pratensis,65
45,,3,Kentucky bluegrass ,Poa pratensis,12
34,,,Lady fern ,Athyrium filix-femina,5
36,,,Lady fern ,Athyrium filix-femina,3
28,Log Island in lake; abundant salamander eggs along log,,Marsh cinquefoil ,Potentilla palustris,3
33,Transitional area B/N 26 & 32,,Marsh willow-herb ,Epilobium watsonii,P
28,Log Island in lake; abundant salamander eggs along log,,Musk-flower ,Mimulus moschatus,2
5,,1,Narrow-leaved bur-reed,Sparganium angustifolium,35
27,,1,Narrow-leaved bur-reed,Sparganium angustifolium,25
31,,,Narrow-leaved bur-reed,Sparganium angustifolium,2
11,,3,Narrow-leaved bur-reed ,Sparganium angustifolium,10
13,Pond,3,Narrow-leaved bur-reed ,Sparganium angustifolium,5
14,Wetland grasses,2,Narrow-leaved bur-reed ,Sparganium angustifolium,25
15,,1,Narrow-leaved bur-reed ,Sparganium angustifolium,30
16,Lake shore-aquatic,1,Narrow-leaved bur-reed ,Sparganium angustifolium,30
19,Lake shore-rock/grass,,Narrow-leaved bur-reed ,Sparganium angustifolium,P
23,,1,Narrow-leaved bur-reed ,Sparganium angustifolium,20
32,Muddy Shore/Back of lake,3,Narrow-leaved bur-reed ,Sparganium angustifolium,10
33,Transitional area B/N 26 & 32,,Narrow-leaved bur-reed ,Sparganium angustifolium,3
44,,2,Narrow-leaved bur-reed ,Sparganium angustifolium,17
2,,3,Orchard grass ,Dactylis glomerata,12
9,,2,Orchard grass ,Dactylis glomerata,20
35,,,Orchard grass ,Dactylis glomerata,7
37,,,Orchard grass ,Dactylis glomerata,10
34,,2,Pacific sanicle ,Sanicula crassicaulis,7
43,,2,Pacific sanicle ,Sanicula crassicaulis,30
26,,,Pointed rush ,Juncus oxymeris,P
19,Lake shore-rock/grass,,Quackgrass ,Agropyron repens,P
2,,2,Red alder,Alnus rubra,15
8,,1,Red alder ,Alnus rubra,50
9,,1,Red alder ,Alnus rubra,20
10,,2,Red alder ,Alnus rubra,13
36,,2,Red alder ,Alnus rubra,25
38,Forest-with some apparent seasonal flooding,1,Red alder ,Alnus rubra,55
4,,3,Red elderberry,Sambucus racemosa,25
38,Forest-with some apparent seasonal flooding,,Red elderberry ,Sambucus racemosa,10
41,Forest-60-80 yr. Old stand,,Red huckleberry ,Vaccinium parvifolium,P
1,,3,Reed canary grass ,Phalaris arundinacea,20
5,,3,Reed canary grass ,Phalaris arundinacea,18
11,,2,Reed canary grass ,Phalaris arundinacea,20
12,,1,Reed canary grass ,Phalaris arundinacea,40
17,Lake shore-grass,2,Reed canary grass ,Phalaris arundinacea,30
18,Lake shore-shaded forest,3,Reed canary grass ,Phalaris arundinacea,20
19,Lake shore-rock/grass,2,Reed canary grass ,Phalaris arundinacea,20
22,,1,Reed canary grass ,Phalaris arundinacea,80
23,,3,Reed canary grass ,Phalaris arundinacea,3
24,,2,Reed canary grass ,Phalaris arundinacea,15
25,,2,Reed canary grass ,Phalaris arundinacea,12
