"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Elassochirus gilli","(Benedict, 1892)","","orange hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","","Elassochirus","gilli",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2010-07-17","Andy Lamb","PMLS","",,6,"confirmed","unobserved","",459568,"ART"
"Elassochirus tenuimanus","(Dana, 1851)","","widehand hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","","Elassochirus","tenuimanus",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,51,"confirmed","unobserved","",459569,"ART"
"Eualus butleri","Jensen, 2004","","sponge eualid","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","","Eualus","butleri",,"",,"native","unlisted",,"2016-01-23","Andy Lamb","PMLS","",,"2016-01-23","Andy Lamb","PMLS","",,1,"new 2016","unobserved","",459508,"ART"
"Euphausia sp.","","","krill","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","","","Euphausiidae","","","Euphausia","",,"",,"","",,"1973-09-21","Andy Lamb","PMLS","",,"2011-11-25","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",195136,"ART"
"Eusergestes similis","(Hansen, 1903)","","Pacific sergestid","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Dendrobranchiata","Sergestoidea","Sergestidae","","","Eusergestes","similis",,"",,"native","unlisted",,"1965-01-29","W. Barraclough","RBCM","015-00030-001",,"2022-12-04","","iNaturalist","",,2,"confirmed","observed","",459581,"ART"
"Fabia subquadrata","Dana, 1851","","pea crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Pinnotheroidea","Pinnotheridae","Pinnotherinae","","Fabia","subquadrata",,"",,"native","unlisted",,"1934-09-06","Josephine Hart","RBCM","985-00143-001",,"1934-09-06","Josephine Hart","RBCM","985-00143-001",,1,"reported","unobserved","",117669,"ART"
"Glebocarcinus oregonensis","(Dana, 1852)","","pygmy rock crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Cancroidea","Cancridae","","","Glebocarcinus","oregonensis",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2023-09-10","","iNaturalist","",,74,"confirmed","observed","",429951,"ART"
"Gnathopleustes pachychaetus","Bousfield & Hendrycks, 1995","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Amphilochoidea","Pleustidae","Parapleustinae","","Gnathopleustes","pachychaetus",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2004-0232",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2004-0232",,1,"reported","unobserved","",1128633,"ART"
"Gnorimosphaeroma oregonense","(Dana, 1853)","","Oregon pillbug","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Sphaeromatidea","Sphaeromatoidea","Sphaeromatidae","","","Gnorimosphaeroma","oregonense",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 1987-0202",,"2023-05-27","","iNaturalist","",,5,"confirmed","observed","",123798,"ART"
"Grimothea quadrispina","(Benedict, 1902)","","squat lobster","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Galatheoidea","Munididae","","","Grimothea","quadrispina",,"",,"native","unlisted",,"2008-05-21","Jackson W.F. Chu","Chu & Leys (2010)","",,"2019-07-05","","iNaturalist","",,346,"confirmed","observed","",1427738,"ART"
"Hapalogaster mertensii","J.F. Brandt, 1850","","hairy crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Hapalogastridae","","","Hapalogaster","mertensii",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2017-03-18","Andy Lamb","PMLS","",,10,"confirmed","unobserved","",51635,"ART"
"Hemigrapsus nudus","(Dana, 1851)","","purple shore crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Grapsoidea","Varunidae","Varuninae","","Hemigrapsus","nudus",,"",,"native","unlisted",,"1948-06-05","","RBCM","976-01171-005",,"2023-08-06","","iNaturalist","",,53,"confirmed","observed","",48342,"ART"
"Hemigrapsus oregonensis","(Dana, 1851)","","yellow shore crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Grapsoidea","Varunidae","Varuninae","","Hemigrapsus","oregonensis",,"",,"native","unlisted",,"2015-06-19","","iNaturalist","",,"2023-08-25","","iNaturalist","",,80,"confirmed","observed","",69170,"ART"
"Heptacarpus brevirostris","(Dana, 1852)","","stout coastal shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","","Heptacarpus","brevirostris",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2004-3237",,"2023-04-04","","iNaturalist","",,6,"confirmed","observed","",63679,"ART"
"Heptacarpus kincaidi","(Rathbun, 1902)","","Kincaid's shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","","Heptacarpus","kincaidi",,"",,"native","unlisted",,"1996-09-28","Charlie Gibbs","PMLS","",,"2023-04-04","","iNaturalist","",,23,"confirmed","observed","",459524,"ART"
"Heptacarpus sitchensis","(J.F. Brandt in von Middendorf, 1851)","","red-banded transparent shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","","Heptacarpus","sitchensis",,"",,"native","unlisted",,"2017-05-26","","iNaturalist","",,"2022-03-01","","iNaturalist","",,2,"new 2017","observed","",67627,"ART"
"Heptacarpus stylus","(Stimpson, 1864)","","stiletto shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","","Heptacarpus","stylus",,"",,"native","unlisted",,"2006-03-05","Andy Lamb","PMLS","",,"2023-04-04","","iNaturalist","",,6,"confirmed","observed","",458674,"ART"
"Heptacarpus tridens","(Rathbun, 1902)","","threespine shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","","Heptacarpus","tridens",,"",,"native","unlisted",,"1999-10-02","Andy Lamb","PMLS","",,"2013-10-23","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",459522,"ART"
"Hippolyte clarki","Chace, 1951","","","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Hippolytidae","","","Hippolyte","clarki",,"",,"","",,"2022-05-16","","iNaturalist","",,"2022-05-16","","iNaturalist","",,1,"new 2022","observed","",179835,"ART"
"Hyas lyratus","Dana, 1851","","Pacific lyre crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Majoidea","Oregoniidae","Oregoniinae","","Hyas","lyratus",,"",,"native","unlisted",,"1961-05-13","Dan Quayle","RBCM","982-00207-001",,"1961-05-13","Dan Quayle","RBCM","982-00207-001",,1,"reported","unobserved","",459591,"ART"
"Ismaila belciki","Ho, 1987","","parasitic copepod","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Ergasilida","","Splanchnotrophidae","","","Ismaila","belciki",,"",,"","",,"2022-08-16","","iNaturalist","",,"2022-08-16","","iNaturalist","",,1,"new 2022","observed","",872210,"ART"
