"Order","Order_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Saxifrages (Saxifragales)","Saxifragales","Confirmed record","Sedum spathulifolium","Harvey Janszen","Brian Starzomski","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2012-04-13",NA,"22396983","https://www.inaturalist.org/observations/22396983","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of saxifrages, which was later confirmed by Brian Starzomski in 2012."
"Spikemosses (Selaginellales)","Selaginellales","Confirmed record","Selaginella wallacei","William J. Crins","Andrew Simon","UBC","V191361"," (UBC, V191361)","1986-08-17","2015-03-04",NA,"2566424","https://www.inaturalist.org/observations/2566424","In 1986, William J. Crins (UBC, V191361) reported this taxon of spikemosses, which was later confirmed by Andrew Simon in 2015."
"Spurge & violets (Malpighiales)","Malpighiales","Remaining historical report","Salix prolixa","Christopher Clement",NA,"RBCM","V147384"," (RBCM, V147384)","1978-01-01",NA,NA,NA,NA,"In 1978, Christopher Clement (RBCM, V147384) reported this taxon of spurge & violets, which has not been seen since."
"Spurge & violets (Malpighiales)","Malpighiales","Confirmed record","Salix lasiandra var. lasiandra","Hans Roemer","Adam Huggins","RBCM","V186368"," (RBCM, V186368)","1995-05-11","2016-07-31",NA,"3779790","https://www.inaturalist.org/observations/3779790","In 1995, Hans Roemer (RBCM, V186368) reported this taxon of spurge & violets, which was later confirmed by Adam Huggins in 2016."
"Sunflowers (Asterales)","Asterales","Remaining historical report","Triodanis perfoliata","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of sunflowers, which has not been seen since."
"Sunflowers (Asterales)","Asterales","Confirmed record","Achillea millefolium complex","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-05-28",NA,"2621438","https://www.inaturalist.org/observations/2621438","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of sunflowers, which was later confirmed by Lauren Magner in 2015."
"True ferns (Polypodiales)","Polypodiales","Confirmed record","Dryopteris expansa","Harvey Janszen","Alison, Laura and Malcolm Colwell","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-05-29",NA,"3336189","https://www.inaturalist.org/observations/3336189","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of true ferns, which was later confirmed by Alison, Laura and Malcolm Colwell in 2016."
"Water-lilies (Nymphaeales)","Nymphaeales","Confirmed record","Nuphar polysepala","Hans Roemer","Karolle Wall","ER 128 Inventory",NA," (ER 128 Inventory)","2000-06-12","2015-08-20",NA,"97172676","https://www.inaturalist.org/observations/97172676","In 2000, Hans Roemer (ER 128 Inventory) reported this taxon of water-lilies, which was later confirmed by Karolle Wall in 2015."
"Water-lilies (Nymphaeales)","Nymphaeales","New record","Brasenia schreberi",NA,"Sofia Silverman",NA,NA,"",NA,"2025-08-13",2025,"306312377","https://www.inaturalist.org/observations/306312377","In 2025, Sofia Silverman reported this taxon of water-lilies as new for Galiano Island."
"Water-plantains & allies (Alismatales)","Alismatales","Remaining historical report","Potamogeton gramineus","Keith Erickson & S. Gates",NA,"Laughlin Lake Vegetation Community Mapping",NA," (Laughlin Lake Vegetation Community Mapping)","2002-08-12",NA,NA,NA,NA,"In 2002, Keith Erickson & S. Gates (Laughlin Lake Vegetation Community Mapping) reported this taxon of water-plantains & allies, which has not been seen since."
"Water-plantains & allies (Alismatales)","Alismatales","Confirmed record","Potamogeton berchtoldii","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2022-08-04",NA,"129778462","https://www.inaturalist.org/observations/129778462","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of water-plantains & allies, which was later confirmed by Andrew Simon in 2022."
