"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Birch family (Betulaceae)","Betulaceae","Confirmed record","Betula papyrifera","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2021-07-09",NA,"86360289","https://www.inaturalist.org/observations/86360289","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of birch family, which was later confirmed by Andrew Simon in 2021."
"Bittersweet family (Celastraceae)","Celastraceae","Confirmed record","Paxistima myrsinites","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-02-15",NA,"2561669","https://www.inaturalist.org/observations/2561669","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of bittersweet family, which was later confirmed by Andrew Simon in 2015."
"Bladder-fern family (Cystopteridaceae)","Cystopteridaceae","Confirmed record","Cystopteris fragilis","Harvey Janszen, Jenifer Penny & Charlotte Norris","Andrew Simon","RBCM","V175175"," (RBCM, V175175)","1996-05-22","2017-03-30",NA,"5516498","https://www.inaturalist.org/observations/5516498","In 1996, Harvey Janszen, Jenifer Penny & Charlotte Norris (RBCM, V175175) reported this taxon of bladder-fern family, which was later confirmed by Andrew Simon in 2017."
"Bladderwort family (Lentibulariaceae)","Lentibulariaceae","Remaining historical report","Utricularia macrorhiza","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of bladderwort family, which has not been seen since."
"Borage family (Boraginaceae)","Boraginaceae","Remaining historical report","Symphytum × uplandicum","Terry Taylor",NA,"Vascular Plants Seen on Galiano Island",NA," (Vascular Plants Seen on Galiano Island)","2012-04-21",NA,NA,NA,NA,"In 2012, Terry Taylor (Vascular Plants Seen on Galiano Island) reported this taxon of borage family, which has not been seen since."
"Borage family (Boraginaceae)","Boraginaceae","Confirmed record","Echium vulgare","Angela Wood","Ed Andrusiak","RBCM","V097740"," (RBCM, V097740)","1975-08-04","2020-06-11",NA,"50324752","https://www.inaturalist.org/observations/50324752","In 1975, Angela Wood (RBCM, V097740) reported this taxon of borage family, which was later confirmed by Ed Andrusiak in 2020."
"Bracken family (Dennstaedtiaceae)","Dennstaedtiaceae","Confirmed record","Pteridium aquilinum ssp. pubescens","Harvey Janszen","Lauren Magner","ER 128 Inventory",NA," (ER 128 Inventory)","1980-04-12","2014-11-30",NA,"2648027","https://www.inaturalist.org/observations/2648027","In 1980, Harvey Janszen (ER 128 Inventory) reported this taxon of bracken family, which was later confirmed by Lauren Magner in 2014."
"Brake-fern family (Pteridaceae)","Pteridaceae","Confirmed record","Pentagramma triangularis ssp. triangularis","J. A. Calder","Lauren Magner","UBC","V103246"," (UBC, V103246)","1961-05-08","2015-03-13",NA,"2589088","https://www.inaturalist.org/observations/2589088","In 1961, J. A. Calder (UBC, V103246) reported this taxon of brake-fern family, which was later confirmed by Lauren Magner in 2015."
"Broomrape family (Orobanchaceae)","Orobanchaceae","Remaining historical report","Rhinanthus minor","Frank Lomer",NA,"UBC","13022"," (UBC, 13022)","2022-06-12",NA,NA,NA,NA,"In 2022, Frank Lomer (UBC, 13022) reported this taxon of broomrape family, which has not been seen since."
"Broomrape family (Orobanchaceae)","Orobanchaceae","Confirmed record","Castilleja attenuata","Jennifer L. Penny, Charlotte E. Norris, & Harvey Janszen","Andrew Simon","RBCM","V186361"," (RBCM, V186361)","1996-05-21","2020-04-09",NA,"41788621","https://www.inaturalist.org/observations/41788621","In 1996, Jennifer L. Penny, Charlotte E. Norris, & Harvey Janszen (RBCM, V186361) reported this taxon of broomrape family, which was later confirmed by Andrew Simon in 2020."
"Buckthorn family (Rhamnaceae)","Rhamnaceae","Remaining historical report","Ceanothus sanguineus","Hans Roemer",NA,"RBCM","V186369"," (RBCM, V186369)","1995-05-11",NA,NA,NA,NA,"In 1995, Hans Roemer (RBCM, V186369) reported this taxon of buckthorn family, which has not been seen since."
"Buckthorn family (Rhamnaceae)","Rhamnaceae","Confirmed record","Frangula purshiana","Hans Roemer","Andrew Simon","ER 128 Inventory",NA," (ER 128 Inventory)","1980-03-29","2016-07-18",NA,"3701040","https://www.inaturalist.org/observations/3701040","In 1980, Hans Roemer (ER 128 Inventory) reported this taxon of buckthorn family, which was later confirmed by Andrew Simon in 2016."
"Bunchflower family (Melanthiaceae)","Melanthiaceae","Confirmed record","Toxicoscordion venenosum","Harvey Janszen","Corinne Risler","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2014-05-16",NA,"52441872","https://www.inaturalist.org/observations/52441872","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of bunchflower family, which was later confirmed by Corinne Risler in 2014."
"Buttercup family (Ranunculaceae)","Ranunculaceae","Remaining historical report","Actaea rubra","Harvey Janszen",NA,"RBCM","V113804"," (RBCM, V113804)","1981-07-16",NA,NA,NA,NA,"In 1981, Harvey Janszen (RBCM, V113804) reported this taxon of buttercup family, which has not been seen since."
"Buttercup family (Ranunculaceae)","Ranunculaceae","Confirmed record","Ranunculus uncinatus","Harvey Janszen","Andrew Simon","RBCM","V067905"," (RBCM, V067905)","1979-06-08","2016-05-13",NA,"3319522","https://www.inaturalist.org/observations/3319522","In 1979, Harvey Janszen (RBCM, V067905) reported this taxon of buttercup family, which was later confirmed by Andrew Simon in 2016."
"Carrot family (Apiaceae)","Apiaceae","Remaining historical report","Angelica genuflexa","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of carrot family, which has not been seen since."
"Carrot family (Apiaceae)","Apiaceae","Confirmed record","Oenanthe sarmentosa","Hans Roemer","Andrew Simon","ER 128 Inventory",NA," (ER 128 Inventory)","2000-06-12","2015-02-22",NA,"2566272","https://www.inaturalist.org/observations/2566272","In 2000, Hans Roemer (ER 128 Inventory) reported this taxon of carrot family, which was later confirmed by Andrew Simon in 2015."
"Cattail family (Typhaceae)","Typhaceae","Remaining historical report","Sparganium natans","Hans Roemer",NA,"ER 128 Inventory",NA," (ER 128 Inventory)","2000-06-12",NA,NA,NA,NA,"In 2000, Hans Roemer (ER 128 Inventory) reported this taxon of cattail family, which has not been seen since."
"Cattail family (Typhaceae)","Typhaceae","Confirmed record","Sparganium emersum","Hans Roemer","Andrew Simon","ER 128 Inventory",NA," (ER 128 Inventory)","2000-06-12","2016-08-13",NA,"3881646","https://www.inaturalist.org/observations/3881646","In 2000, Hans Roemer (ER 128 Inventory) reported this taxon of cattail family, which was later confirmed by Andrew Simon in 2016."
