"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Clubmoss family (Lycopodiaceae)","Lycopodiaceae","Remaining historical report","Lycopodium clavatum","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of clubmoss family, which has not been seen since."
"Currant family (Grossulariaceae)","Grossulariaceae","Confirmed record","Ribes divaricatum var. divaricatum","Harvey Janszen","T. Abe Lloyd","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2010-08-14",NA,"37239714","https://www.inaturalist.org/observations/37239714","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of currant family, which was later confirmed by T. Abe Lloyd in 2010."
"Cypress family (Cupressaceae)","Cupressaceae","Confirmed record","Thuja plicata","Hans Roemer","Alison, Laura and Malcolm Colwell","ER 128 Inventory",NA," (ER 128 Inventory)","2000-06-12","2012-06-15",NA,"2586537","https://www.inaturalist.org/observations/2586537","In 2000, Hans Roemer (ER 128 Inventory) reported this taxon of cypress family, which was later confirmed by Alison, Laura and Malcolm Colwell in 2012."
"Dogbane family (Apocynaceae)","Apocynaceae","Remaining historical report","Apocynum androsaemifolium","Harvey Janszen",NA,"RBCM","V129556"," (RBCM, V129556)","1984-06-02",NA,NA,NA,NA,"In 1984, Harvey Janszen (RBCM, V129556) reported this taxon of dogbane family, which has not been seen since."
"Dogbane family (Apocynaceae)","Apocynaceae","Confirmed record","Vinca major","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-03-04",NA,"2566461","https://www.inaturalist.org/observations/2566461","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of dogbane family, which was later confirmed by Andrew Simon in 2015."
"Dogwood family (Cornaceae)","Cornaceae","Confirmed record","Cornus sericea ssp. occidentalis","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2018-05-13",NA,"15412701","https://www.inaturalist.org/observations/15412701","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of dogwood family, which was later confirmed by Andrew Simon in 2018."
"Eelgrass family (Zosteraceae)","Zosteraceae","Confirmed record","Zostera marina","Andy Lamb & Donna Gibbs","Shera Street","Ocean Wise",NA," (Ocean Wise)","1985-12-08","2009-07-08",NA,"2635147","https://www.inaturalist.org/observations/2635147","In 1985, Andy Lamb & Donna Gibbs (Ocean Wise) reported this taxon of eelgrass family, which was later confirmed by Shera Street in 2009."
"Evening-primrose family (Onagraceae)","Onagraceae","Confirmed record","Circaea alpina ssp. alpina","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-05-04",NA,"2569342","https://www.inaturalist.org/observations/2569342","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of evening-primrose family, which was later confirmed by Lauren Magner in 2015."
"Figwort family (Scrophulariaceae)","Scrophulariaceae","Confirmed record","Buddleja davidii","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-06-24",NA,"2564045","https://www.inaturalist.org/observations/2564045","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of figwort family, which was later confirmed by Lauren Magner in 2015."
"Floating-fern family (Salviniaceae)","Salviniaceae","New record","Azolla sp.",NA,"Emma Menchions",NA,NA,"",NA,"2025-05-29",2025,"285524909","https://www.inaturalist.org/observations/285524909","In 2025, Emma Menchions reported this taxon of floating-fern family as new for Galiano Island."
"Frog's-bit family (Hydrocharitaceae)","Hydrocharitaceae","Confirmed record","Elodea canadensis","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-08-13",NA,"3881936","https://www.inaturalist.org/observations/3881936","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of frog's-bit family, which was later confirmed by Andrew Simon in 2016."
"Gentian family (Gentianaceae)","Gentianaceae","Confirmed record","Centaurium erythraea","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-06-24",NA,"2564068","https://www.inaturalist.org/observations/2564068","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of gentian family, which was later confirmed by Lauren Magner in 2015."
"Geranium family (Geraniaceae)","Geraniaceae","Remaining historical report","Geranium pusillum","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of geranium family, which has not been seen since."
"Geranium family (Geraniaceae)","Geraniaceae","Confirmed record","Geranium dissectum","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-05-28",NA,"2625746","https://www.inaturalist.org/observations/2625746","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of geranium family, which was later confirmed by Lauren Magner in 2015."
"Ginseng family (Araliaceae)","Araliaceae","Confirmed record","Hedera helix","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-08-14",NA,"3948552","https://www.inaturalist.org/observations/3948552","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of ginseng family, which was later confirmed by Andrew Simon in 2016."
"Grass family (Poaceae)","Poaceae","Remaining historical report","Agrostis scabra","Harvey Janszen",NA,"RBCM","V097864"," (RBCM, V097864)","1979-07-09",NA,NA,NA,NA,"In 1979, Harvey Janszen (RBCM, V097864) reported this taxon of grass family, which has not been seen since."
"Grass family (Poaceae)","Poaceae","Confirmed record","Anthoxanthum odoratum","Angela Wood","Andrew Simon","RBCM","V097414"," (RBCM, V097414)","1975-06-07","2015-04-21",NA,"2567283","https://www.inaturalist.org/observations/2567283","In 1975, Angela Wood (RBCM, V097414) reported this taxon of grass family, which was later confirmed by Andrew Simon in 2015."
"Grass family (Poaceae)","Poaceae","New record","Calamagrostis canadensis",NA,"Andrew Simon",NA,NA,"",NA,"2024-08-12",2024,"235463302","https://www.inaturalist.org/observations/235463302","In 2024, Andrew Simon reported this taxon of grass family as new for Galiano Island."
"Hard-fern family (Blechnaceae)","Blechnaceae","Confirmed record","Struthiopteris spicant","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-05-24",NA,"3296145","https://www.inaturalist.org/observations/3296145","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of hard-fern family, which was later confirmed by Lauren Magner in 2016."
"Heath family (Ericaceae)","Ericaceae","Remaining historical report","Hemitomes congestum","Harvey Janszen",NA,"RBCM","V113511"," (RBCM, V113511)","1981-07-16",NA,NA,NA,NA,"In 1981, Harvey Janszen (RBCM, V113511) reported this taxon of heath family, which has not been seen since."
"Heath family (Ericaceae)","Ericaceae","Confirmed record","Pyrola picta","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2018-05-23",NA,"12789649","https://www.inaturalist.org/observations/12789649","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of heath family, which was later confirmed by Andrew Simon in 2018."
"Holly family (Aquifoliaceae)","Aquifoliaceae","Confirmed record","Ilex aquifolium","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-02-22",NA,"2566288","https://www.inaturalist.org/observations/2566288","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of holly family, which was later confirmed by Andrew Simon in 2015."
"Honeysuckle family (Caprifoliaceae)","Caprifoliaceae","Remaining historical report","Plectritis macrocera","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of honeysuckle family, which has not been seen since."
"Honeysuckle family (Caprifoliaceae)","Caprifoliaceae","Confirmed record","Linnaea borealis ssp. longiflora","Harvey Janszen","Lauren Magner","RBCM","V097816"," (RBCM, V097816)","1979-06-08","2015-05-28",NA,"2621405","https://www.inaturalist.org/observations/2621405","In 1979, Harvey Janszen (RBCM, V097816) reported this taxon of honeysuckle family, which was later confirmed by Lauren Magner in 2015."
"Hornwort family (Ceratophyllaceae)","Ceratophyllaceae","Confirmed record","Ceratophyllum echinatum","Harvey Janszen, Jenifer Penny & Charlotte Norris","Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon","RBCM","V170227"," (RBCM, V170227)","1996-05-01","2019-05-04",NA,"24653208","https://www.inaturalist.org/observations/24653208","In 1996, Harvey Janszen, Jenifer Penny & Charlotte Norris (RBCM, V170227) reported this taxon of hornwort family, which was later confirmed by Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon in 2019."
"Horsetail family (Equisetaceae)","Equisetaceae","Confirmed record","Equisetum arvense","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-03-13",NA,"2589232","https://www.inaturalist.org/observations/2589232","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of horsetail family, which was later confirmed by Lauren Magner in 2015."
"Hydrangea family (Hydrangeaceae)","Hydrangeaceae","Confirmed record","Philadelphus lewisii","Harvey Janszen","Adam Huggins","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-07-15",NA,"3684435","https://www.inaturalist.org/observations/3684435","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of hydrangea family, which was later confirmed by Adam Huggins in 2016."
"Iris family (Iridaceae)","Iridaceae","Confirmed record","Iris pseudacorus","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-05-28",NA,"2629732","https://www.inaturalist.org/observations/2629732","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of iris family, which was later confirmed by Lauren Magner in 2015."
"Knotweed family (Polygonaceae)","Polygonaceae","Remaining historical report","Fallopia convolvulus","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of knotweed family, which has not been seen since."
"Knotweed family (Polygonaceae)","Polygonaceae","Confirmed record","Rumex obtusifolius","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-07-08",NA,"2563316","https://www.inaturalist.org/observations/2563316","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of knotweed family, which was later confirmed by Lauren Magner in 2015."
"Lady-fern family (Athyriaceae)","Athyriaceae","Confirmed record","Athyrium filix-femina ssp. cyclosorum","Hans Roemer","Andrew Simon","ER 128 Inventory",NA," (ER 128 Inventory)","2000-06-12","2015-04-04",NA,"2567709","https://www.inaturalist.org/observations/2567709","In 2000, Hans Roemer (ER 128 Inventory) reported this taxon of lady-fern family, which was later confirmed by Andrew Simon in 2015."
"Legume family (Fabaceae)","Fabaceae","Remaining historical report","Acmispon americanus var. americanus","Angela Wood",NA,"RBCM","V097714"," (RBCM, V097714)","1975-08-04",NA,NA,NA,NA,"In 1975, Angela Wood (RBCM, V097714) reported this taxon of legume family, which has not been seen since."
"Legume family (Fabaceae)","Fabaceae","Confirmed record","Vicia villosa var. villosa","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-07-06",NA,"3638409","https://www.inaturalist.org/observations/3638409","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of legume family, which was later confirmed by Lauren Magner in 2016."
"Legume family (Fabaceae)","Fabaceae","New record","Trifolium fragiferum",NA,"aanderson72",NA,NA,"",NA,"2025-05-16",2025,"281623731","https://www.inaturalist.org/observations/281623731","In 2025, aanderson72 reported this taxon of legume family as new for Galiano Island."
"Lily family (Liliaceae)","Liliaceae","Confirmed record","Lilium columbianum","Harvey Janszen","Felix Erhard","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2013-06-05",NA,"2570696","https://www.inaturalist.org/observations/2570696","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of lily family, which was later confirmed by Felix Erhard in 2013."
"Lopseed family (Phrymaceae)","Phrymaceae","Confirmed record","Erythranthe alsinoides","Harvey Janszen","Brian Starzomski","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2012-04-13",NA,"22396984","https://www.inaturalist.org/observations/22396984","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of lopseed family, which was later confirmed by Brian Starzomski in 2012."
"Madder family (Rubiaceae)","Rubiaceae","Remaining historical report","Galium mollugo","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of madder family, which has not been seen since."
"Madder family (Rubiaceae)","Rubiaceae","Confirmed record","Galium aparine","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-03-27",NA,"2575091","https://www.inaturalist.org/observations/2575091","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of madder family, which was later confirmed by Lauren Magner in 2015."
"Mallow family (Malvaceae)","Malvaceae","Remaining historical report","Malva neglecta","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of mallow family, which has not been seen since."
"Mallow family (Malvaceae)","Malvaceae","Confirmed record","Malva moschata","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2018-07-12",NA,"14300222","https://www.inaturalist.org/observations/14300222","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of mallow family, which was later confirmed by Andrew Simon in 2018."
"Mezereum family (Thymelaeaceae)","Thymelaeaceae","Confirmed record","Daphne laureola","Gerald Straley & K. Nichols","Andrew Simon","RBCM","V144086"," (RBCM, V144086)","1989-04-06","2016-01-20",NA,"2602959","https://www.inaturalist.org/observations/2602959","In 1989, Gerald Straley & K. Nichols (RBCM, V144086) reported this taxon of mezereum family, which was later confirmed by Andrew Simon in 2016."
"Miner's-lettuce family (Montiaceae)","Montiaceae","Confirmed record","Claytonia sibirica","B. Schwartz","Lauren Magner","UBC","V139277"," (UBC, V139277)","1972-05-02","2015-05-04",NA,"2569360","https://www.inaturalist.org/observations/2569360","In 1972, B. Schwartz (UBC, V139277) reported this taxon of miner's-lettuce family, which was later confirmed by Lauren Magner in 2015."
"Mint family (Lamiaceae)","Lamiaceae","Remaining historical report","Mentha suaveolens","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of mint family, which has not been seen since."
"Mint family (Lamiaceae)","Lamiaceae","Confirmed record","Prunella vulgaris","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-06-05",NA,"3395941","https://www.inaturalist.org/observations/3395941","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of mint family, which was later confirmed by Andrew Simon in 2016."
"Morning glory family (Convolvulaceae)","Convolvulaceae","Confirmed record","Convolvulus arvensis","Harvey Janszen","Sarah Tweedale","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-08-06",NA,"3816774","https://www.inaturalist.org/observations/3816774","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of morning glory family, which was later confirmed by Sarah Tweedale in 2016."
"Mustard family (Brassicaceae)","Brassicaceae","Remaining historical report","Rorippa palustris ssp. palustris","Harvey Janszen",NA,"RBCM","V120104"," (RBCM, V120104)","1982-08-14",NA,NA,NA,NA,"In 1982, Harvey Janszen (RBCM, V120104) reported this taxon of mustard family, which has not been seen since."
"Mustard family (Brassicaceae)","Brassicaceae","Confirmed record","Cardamine flexuosa","Frank Lomer","Andrew Simon","UBC","V231296"," (UBC, V231296)","2003-05-01","2018-05-23",NA,"12791467","https://www.inaturalist.org/observations/12791467","In 2003, Frank Lomer (UBC, V231296) reported this taxon of mustard family, which was later confirmed by Andrew Simon in 2018."
"Mustard family (Brassicaceae)","Brassicaceae","New record","Aubrieta deltoidea",NA,"David Clements",NA,NA,"",NA,"2025-05-06",2025,"279370109","https://www.inaturalist.org/observations/279370109","In 2025, David Clements reported this taxon of mustard family as new for Galiano Island."
"Nightshade family (Solanaceae)","Solanaceae","Remaining historical report","Solanum sarrachoides","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of nightshade family, which has not been seen since."
"Nightshade family (Solanaceae)","Solanaceae","Confirmed record","Solanum americanum","Harvey Janszen","Sylvie Hawkes","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2020-09-07",NA,"62566198","https://www.inaturalist.org/observations/62566198","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of nightshade family, which was later confirmed by Sylvie Hawkes in 2020."
