Family,Family_Latin,total_taxa,remaining_historical,confirmed_taxa,new_taxa,resolved_taxa,recent_confirmed,recent_new,recent_total,resolved_share_pct,unresolved_share_pct
Phlox family (Polemoniaceae),Polemoniaceae,4,0,4,0,4,0,0,0,100,0
St. John's-wort family (Hypericaceae),Hypericaceae,4,0,3,1,4,0,0,0,100,0
Barberry family (Berberidaceae),Berberidaceae,3,0,3,0,3,0,0,0,100,0
Birch family (Betulaceae),Betulaceae,3,0,2,1,3,0,0,0,100,0
Dogbane family (Apocynaceae),Apocynaceae,3,1,2,0,2,0,0,0,66.7,33.3
Figwort family (Scrophulariaceae),Scrophulariaceae,3,0,3,0,3,0,0,0,100,0
Horsetail family (Equisetaceae),Equisetaceae,3,0,3,0,3,0,0,0,100,0
Iris family (Iridaceae),Iridaceae,3,0,2,1,3,0,0,0,100,0
Mallow family (Malvaceae),Malvaceae,3,2,1,0,1,0,0,0,33.3,66.7
Soapberry family (Sapindaceae),Sapindaceae,3,0,2,1,3,0,0,0,100,0
Spurge family (Euphorbiaceae),Euphorbiaceae,3,0,1,2,3,0,0,0,100,0
Viburnum family (Viburnaceae),Viburnaceae,3,0,1,2,3,0,0,0,100,0
Arrow-grass family (Juncaginaceae),Juncaginaceae,2,1,1,0,1,0,0,0,50,50
Balsam family (Balsaminaceae),Balsaminaceae,2,1,0,1,1,0,0,0,50,50
Bladderwort family (Lentibulariaceae),Lentibulariaceae,2,1,0,1,1,0,0,0,50,50
Brake-fern family (Pteridaceae),Pteridaceae,2,0,1,1,2,0,0,0,100,0
Buckbean family (Menyanthaceae),Menyanthaceae,2,0,0,2,2,0,0,0,100,0
Buckthorn family (Rhamnaceae),Rhamnaceae,2,1,1,0,1,0,0,0,50,50
Cypress family (Cupressaceae),Cupressaceae,2,0,1,1,2,0,0,0,100,0
Dogwood family (Cornaceae),Cornaceae,2,0,2,0,2,0,0,0,100,0
Eelgrass family (Zosteraceae),Zosteraceae,2,0,1,1,2,0,0,0,100,0
Ginseng family (Araliaceae),Araliaceae,2,0,1,1,2,0,0,0,100,0
Wood-fern family (Dryopteridaceae),Dryopteridaceae,2,0,2,0,2,0,0,0,100,0
Wood-sorrel family (Oxalidaceae),Oxalidaceae,2,0,0,2,2,0,0,0,100,0
Adder's-tongue family (Ophioglossaceae),Ophioglossaceae,1,1,0,0,0,0,0,0,0,100
Beech family (Fagaceae),Fagaceae,1,0,1,0,1,0,0,0,100,0
Bittersweet family (Celastraceae),Celastraceae,1,0,1,0,1,0,0,0,100,0
Bladder-fern family (Cystopteridaceae),Cystopteridaceae,1,0,1,0,1,0,0,0,100,0
Bracken family (Dennstaedtiaceae),Dennstaedtiaceae,1,0,1,0,1,0,0,0,100,0
Bunchflower family (Melanthiaceae),Melanthiaceae,1,0,1,0,1,0,0,0,100,0
Clubmoss family (Lycopodiaceae),Lycopodiaceae,1,1,0,0,0,0,0,0,0,100
Flax family (Linaceae),Linaceae,1,0,0,1,1,0,0,0,100,0
Floating-fern family (Salviniaceae),Salviniaceae,1,0,0,1,1,0,1,1,100,0
Frog's-bit family (Hydrocharitaceae),Hydrocharitaceae,1,0,1,0,1,0,0,0,100,0
Gentian family (Gentianaceae),Gentianaceae,1,0,1,0,1,0,0,0,100,0
Hard-fern family (Blechnaceae),Blechnaceae,1,0,1,0,1,0,0,0,100,0
Holly family (Aquifoliaceae),Aquifoliaceae,1,0,1,0,1,0,0,0,100,0
Hornwort family (Ceratophyllaceae),Ceratophyllaceae,1,0,1,0,1,0,0,0,100,0
Hydrangea family (Hydrangeaceae),Hydrangeaceae,1,0,1,0,1,0,0,0,100,0
Lady-fern family (Athyriaceae),Athyriaceae,1,0,1,0,1,0,0,0,100,0
Leadwort family (Plumbaginaceae),Plumbaginaceae,1,0,0,1,1,0,0,0,100,0
Loosestrife family (Lythraceae),Lythraceae,1,0,0,1,1,0,0,0,100,0
Mezereum family (Thymelaeaceae),Thymelaeaceae,1,0,1,0,1,0,0,0,100,0
Nettle family (Urticaceae),Urticaceae,1,0,0,1,1,0,0,0,100,0
Oleaster family (Elaeagnaceae),Elaeagnaceae,1,0,1,0,1,0,0,0,100,0
Olive family (Oleaceae),Oleaceae,1,0,0,1,1,0,0,0,100,0
Polypody family (Polypodiaceae),Polypodiaceae,1,0,1,0,1,0,0,0,100,0
Sandalwood family (Santalaceae),Santalaceae,1,0,0,1,1,0,0,0,100,0
Spikemoss family (Selaginellaceae),Selaginellaceae,1,0,1,0,1,0,0,0,100,0
Spleenwort family (Aspleniaceae),Aspleniaceae,1,0,0,1,1,0,0,0,100,0
Sumac family (Anacardiaceae),Anacardiaceae,1,0,1,0,1,0,0,0,100,0
Sundew family (Droseraceae),Droseraceae,1,0,1,0,1,0,0,0,100,0
Water-lily family (Nymphaeaceae),Nymphaeaceae,1,0,1,0,1,0,0,0,100,0
Water-milfoil family (Haloragaceae),Haloragaceae,1,1,0,0,0,0,0,0,0,100
Water-shield family (Cabombaceae),Cabombaceae,1,0,0,1,1,0,1,1,100,0
Yew family (Taxaceae),Taxaceae,1,0,1,0,1,0,0,0,100,0
