"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link"
"Herons, egrets & bitterns (Ardeidae)","Ardeidae","Confirmed record","Ardea herodias fannini","Galiano Naturalist","Shera Street","2016","2009-05-03",NA,"2635593","https://www.inaturalist.org/observations/2635593"
"Hummingbirds (Trochilidae)","Trochilidae","Confirmed record","Calypte anna","Galiano Naturalist","Michael Hoebel","2016","2014-03-14",NA,"4046916","https://www.inaturalist.org/observations/4046916"
"Kingfishers (Alcedinidae)","Alcedinidae","Confirmed record","Megaceryle alcyon","Galiano Naturalist","Karolle Wall","2016","2009-07-28",NA,"97176968","https://www.inaturalist.org/observations/97176968"
"Kinglets (Regulidae)","Regulidae","Confirmed record","Regulus satrapa","Galiano Naturalist","Cameron Deckert","2016","2009-07-26",NA,"19139375","https://www.inaturalist.org/observations/19139375"
"Larks (Alaudidae)","Alaudidae","Confirmed record","Eremophila alpestris","Galiano Naturalist","Michael Hoebel","2016","2017-09-16",NA,"19548104","https://www.inaturalist.org/observations/19548104"
"Long-tailed tits (Aegithalidae)","Aegithalidae","Confirmed record","Psaltriparus minimus","Galiano Naturalist","Michael Hoebel","2016","2013-04-14",NA,"4046836","https://www.inaturalist.org/observations/4046836"
"Loons (Gaviidae)","Gaviidae","Remaining historical report","Gavia stellata","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Loons (Gaviidae)","Gaviidae","Confirmed record","Gavia immer","Galiano Naturalist","B.J. Stacey","2016","2012-04-19",NA,"167230","https://www.inaturalist.org/observations/167230"
"New World sparrows (Passerellidae)","Passerellidae","Remaining historical report","Melospiza georgiana","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"New World sparrows (Passerellidae)","Passerellidae","Confirmed record","Zonotrichia atricapilla","Galiano Naturalist","Sarah Tweedale","2016","2016-06-27",NA,"4041637","https://www.inaturalist.org/observations/4041637"
"New World vultures (Cathartidae)","Cathartidae","Confirmed record","Cathartes aura","Galiano Naturalist","Karolle Wall","2016","2006-08-14",NA,"97172668","https://www.inaturalist.org/observations/97172668"
"Nightjars (Caprimulgidae)","Caprimulgidae","Confirmed record","Chordeiles minor","Galiano Naturalist","Andrew Simon","2016","2016-07-28",NA,"3767319","https://www.inaturalist.org/observations/3767319"
"Nuthatches (Sittidae)","Sittidae","Confirmed record","Sitta canadensis","Galiano Naturalist","Andrew Simon","2016","2016-02-23",NA,"2711391","https://www.inaturalist.org/observations/2711391"
"Old World sparrows (Passeridae)","Passeridae","Remaining historical report","Passer domesticus","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Osprey (Pandionidae)","Pandionidae","Confirmed record","Pandion haliaetus","Galiano Naturalist","Bridgit Spencer","2016","2015-06-20",NA,"2677178","https://www.inaturalist.org/observations/2677178"
"Oystercatchers (Haematopodidae)","Haematopodidae","Confirmed record","Haematopus bachmani","Galiano Naturalist","hdcooper","2016","2008-07-26",NA,"67005477","https://www.inaturalist.org/observations/67005477"
"Pelicans (Pelecanidae)","Pelecanidae","Confirmed record","Pelecanus erythrorhynchos","Galiano Naturalist","Michael Hoebel","2016","2016-07-10",NA,"102503941","https://www.inaturalist.org/observations/102503941"
"Pheasants, grouse & allies (Phasianidae)","Phasianidae","Remaining historical report","Bonasa umbellus brunnescens","R. Smith",NA,"1991-04-25",NA,NA,NA,NA
"Pheasants, grouse & allies (Phasianidae)","Phasianidae","Confirmed record","Dendragapus fuliginosus","Galiano Naturalist","Andrew Simon","2016","2017-04-28",NA,"6019290","https://www.inaturalist.org/observations/6019290"
"Pigeons & doves (Columbidae)","Columbidae","Confirmed record","Columba livia domestica",NA,"Christian Adler","2012-05-12","2017-02-10",NA,"5179014","https://www.inaturalist.org/observations/5179014"
"Plovers (Charadriidae)","Charadriidae","Remaining historical report","Charadrius semipalmatus","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Plovers (Charadriidae)","Charadriidae","Confirmed record","Charadrius vociferus","Galiano Naturalist","Sarah Tweedale","2016","2015-10-16",NA,"2929529","https://www.inaturalist.org/observations/2929529"
"Sandpipers & allies (Scolopacidae)","Scolopacidae","Remaining historical report","Phalaropus lobatus","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Sandpipers & allies (Scolopacidae)","Scolopacidae","Confirmed record","Limnodromus scolopaceus","Galiano Naturalist","Michael Hoebel","2016","2013-10-07",NA,"4054132","https://www.inaturalist.org/observations/4054132"
"Shrikes (Laniidae)","Laniidae","Confirmed record","Lanius borealis","Galiano Naturalist","Adam Jermakow","2016","2018-12-17",NA,"19202265","https://www.inaturalist.org/observations/19202265"
"Starlings (Sturnidae)","Sturnidae","Confirmed record","Sturnus vulgaris","Galiano Naturalist","Michael Hoebel","2016","2008-05-10",NA,"19548204","https://www.inaturalist.org/observations/19548204"
"Swallows & martins (Hirundinidae)","Hirundinidae","Confirmed record","Tachycineta thalassina","Galiano Naturalist","Andrew Simon","2016","2016-07-26",NA,"3766312","https://www.inaturalist.org/observations/3766312"
"Swifts (Apodidae)","Apodidae","Remaining historical report","Cypseloides niger","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Thrushes (Turdidae)","Turdidae","Confirmed record","Catharus guttatus","Galiano Naturalist","Michael Hoebel","2016","2013-04-28",NA,"4046977","https://www.inaturalist.org/observations/4046977"
"Thrushes (Turdidae)","Turdidae","New record","Sialia currucoides",NA,"Kevin Toomer",NA,"2023-04-26",2023,"156826200","https://www.inaturalist.org/observations/156826200"
"Treecreepers (Certhiidae)","Certhiidae","Confirmed record","Certhia americana","Galiano Naturalist","lesfreck","2016","2011-07-25",NA,"86518607","https://www.inaturalist.org/observations/86518607"
"Typical owls (Strigidae)","Strigidae","Remaining historical report","Asio flammeus","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Typical owls (Strigidae)","Strigidae","Confirmed record","Strix varia","Galiano Naturalist","Karolle Wall","2016","2010-07-07",NA,"13132927","https://www.inaturalist.org/observations/13132927"
"Tyrant flycatchers (Tyrannidae)","Tyrannidae","Confirmed record","Empidonax traillii","Galiano Naturalist","Michael Hoebel","2016","2015-07-15",NA,"4046901","https://www.inaturalist.org/observations/4046901"
"Vireos (Vireonidae)","Vireonidae","Confirmed record","Vireo swainsoni","Galiano Naturalist","Lauren Magner","2016","2015-07-02",NA,"2561814","https://www.inaturalist.org/observations/2561814"
"Wagtails & pipits (Motacillidae)","Motacillidae","Confirmed record","Anthus rubescens","Galiano Naturalist","Sean Vanderluit","2016","2024-09-29",NA,"244839879","https://www.inaturalist.org/observations/244839879"
"Waxwings (Bombycillidae)","Bombycillidae","Confirmed record","Bombycilla cedrorum","Galiano Naturalist","Michael Hoebel","2016","2014-05-30",NA,"4046864","https://www.inaturalist.org/observations/4046864"
"Wood-warblers (Parulidae)","Parulidae","Confirmed record","Setophaga coronata coronata","Galiano Naturalist","Michael Hoebel","2016","2011-05-01",NA,"19562466","https://www.inaturalist.org/observations/19562466"
"Woodpeckers (Picidae)","Picidae","Remaining historical report","Sphyrapicus nuchalis","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Woodpeckers (Picidae)","Picidae","Confirmed record","Sphyrapicus ruber","Galiano Naturalist","Bridgit Spencer","2016","2015-06-19",NA,"2677221","https://www.inaturalist.org/observations/2677221"
"Woodpeckers (Picidae)","Picidae","New record","Melanerpes erythrocephalus",NA,"tanageraz",NA,"2024-07-17",2024,"233013048","https://www.inaturalist.org/observations/233013048"
"Wrens (Troglodytidae)","Troglodytidae","Confirmed record","Cistothorus palustris","Galiano Naturalist","Lauren Magner","2016","2016-01-24",NA,"2616528","https://www.inaturalist.org/observations/2616528"
"Wrens (Troglodytidae)","Troglodytidae","New record","Salpinctes obsoletus",NA,"Sean Vanderluit",NA,"2024-09-29",2024,"244831966","https://www.inaturalist.org/observations/244831966"
