"Taxon","Matched.Taxon","Critical.Note"
"Rhacochilus vacca","Phanerodon vacca",""
"Sarsia","Sarsia sp.",""
"Sarsia","Sarsia sp.",""
"Selaginopsis","Selaginopsis sp.",""
"Sertularella","Sertularella sp.",""
"Solmissus","Solmissus sp.",""
"Spiochaetopterus costarum","Spiochaetopterus costarum pottsi",""
"Sycon","Sycon sp.",""
"Tetilla","Tetilla sp.",""
"Thelepus","Thelepus sp.",""
"Thuiaria","Thuiaria sp.",""
"Thuiaria sp.1","Thuiaria sp.",""
"Tomopteris","Tomopteris sp.",""
"Tonicella undocaerulea","Tonicella cf. undocaerulea",""
"Trypanosyllis","Trypanosyllis sp.",""
"Turbonilla","Turbonilla sp.",""
"Virgularia","Virgularia sp.",""
"Leptasterias","",""
"Pagurus","",""
"Cyanea","",""
"Lottia","",""
"Anthopleura","",""
"Anoplarchus","",""
"Urticina","",""
"Balanus","",""
"Littorina","",""
"Metridium","",""
"Neoturris","",""
"Lacuna","",""
"Lottia limatula","",""
"Halecium","",""
"Tresus","",""
"Amphissa","",""
"Beroe","",""
"Chlamys","",""
"Polyorchis","",""
"Distaplia","",""
"Nucella lapillus","",""
"Neverita","",""
"Serpula","",""
"Cymatogaster","",""
"Nucella","",""
"Haminoea","",""
"Cyanoplax","",""
"Pododesmus","",""
"Strongylocentrotus","",""
"Oxydromus","",""
"Mopalia","",""
"Cadlina","",""
"Aeolidia","",""
"Eupentacta","",""
"Clathria","",""
"Didemnum","",""
"Myxicola","",""
"Caprella","",""
"Habrotrocha","",""
"Corella","",""
"Lepidopsetta","",""
"Aequorea","",""
"Oligocottus","",""
"Gadus","",""
"Artedius","",""
"Diaulula sandiegensis","",""
"Liparis","",""
"Xiphister","",""
"Hemigrapsus","",""
"Ectopleura","",""
"Tonicella","",""
"Pandalus","",""
"Apodichthys","",""
"Ophiopholis","",""
"Lepidozona","",""
"Pandalus dispar","",""
"Pimephales promelas","",""
"Pugettia","",""
"Chthamalus","",""
"Ceratostoma","",""
"Lumbricus terrestris","",""
"Nanomia","",""
"Bugula","",""
"Cucumaria","",""
"Alia","",""
"Acanthodoris","",""
"Amynthas","",""
"Phyllodoce hartmanae","",""
"Haliclona cinerea","",""
"Onchidoris","",""
"Octolasion cyaneum","",""
"Stomphia","",""
"Solaster","",""
"Sebastes","",""
"Mediaster","",""
"Heptacarpus","",""
"Eudistylia","",""
"Diopatra","",""
"Calliostoma","",""
"Membranipora","",""
"Lissoclinum","",""
"Aurelia","",""
"Botrylloides","",""
"Schizobranchia","",""
"Lamellaria ophione","",""
"Crangon","",""
"Bolinopsis","",""
"Aplidium","",""
"Notocomplana","",""
"Boltenia","",""
"Ophiura","",""
"Pachycerianthus","",""
"Triopha","",""
"Cyanoplax hartwegii","",""
"Mitrocoma","",""
"Oregonia","",""
"Oncorhynchus","",""
"Petrolisthes","",""
"Haminoea virescens","",""
"Abietinaria","",""
"Pholis","",""
"Schizoporella unicornis","",""
"Cliona","",""
"Lepidochitona cinerea","",""
"Clinocardium","",""
"Leucosolenia","",""
"Embiotoca","",""
"Peltodoris","",""
"Halocynthia pyriformis","",""
"Magallana","",""
"Ciona intestinalis","",""
"Eudendrium","",""
"Phidolopora","",""
