"","Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"12","Anas crecca","Linnaeus, 1758",NA,"Eurasian green-winged teal","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Anas","crecca",NA,"",NA,"native","S5B,S5N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2019-12-27","Andrew Simon","iNat:37084654","rare winter species",6937,"BIR"
"13","Anas platyrhynchos","Linnaeus, 1758",NA,"mallard","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Anas","platyrhynchos",NA,"",NA,"native","S5B,S5N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-02-04","Kris Krüg","iNat:2644712","",6930,"BIR"
"14","Anser albifrons","(Scopoli, 1769)",NA,"greater white-fronted goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Anser","albifrons",NA,"",NA,"native","S4M (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2014-09-27","Michael Hoebel","iNat:4046931","",7019,"BIR"
"15","Anthus rubescens","(Tunstall, 1771)",NA,"American pipit","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Motacillidae","",NA,"Anthus","rubescens",NA,"",NA,"native","S5B,SNRN (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"16","Antigone canadensis","(Linnaeus, 1758)",NA,"sandhill crane","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gruiformes",NA,NA,"Gruidae","",NA,"Antigone","canadensis",NA,"",NA,"native","S4B (2018)",NA,"new 2021","observed","","","","",NA,"2013-11-05","Michael Hoebel","iNat:102504413","",508048,"BIR"
"17","Aquila chrysaetos","Linnaeus, 1758",NA,"golden eagle","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,"Accipitridae","",NA,"Aquila","chrysaetos",NA,"",NA,"native","S4S5 (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"18","Ardea herodias fannini","Chapman, 1901",NA,"great blue heron","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Pelecaniformes",NA,NA,"Ardeidae","Ardeinae",NA,"Ardea","herodias",NA,"fannini",NA,"native","S2S3B,S4N (2009)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2009-05-03","Shera Street","iNat:2635593","",236943,"BIR"
"19","Arenaria interpres","(Linnaeus, 1758)",NA,"ruddy turnstone","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Scolopacidae","",NA,"Arenaria","interpres",NA,"",NA,"native","S4M (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"20","Arenaria melanocephala","(Vigors, 1829)",NA,"black turnstone","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Scolopacidae","",NA,"Arenaria","melanocephala",NA,"",NA,"native","S4N,S5M (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-08-08","Chessi Miltner","iNat:3840469","",3941,"BIR"
"21","Asio flammeus","(Pontoppidan, 1763)",NA,"short-eared owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,"Strigidae","",NA,"Asio","flammeus",NA,"",NA,"native","S3B,S2N (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"22","Aythya affinis","(Eyton, 1838)",NA,"lesser scaup","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Aythya","affinis",NA,"",NA,"native","S5B,S5N (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"23","Aythya collaris","(Donovan, 1809)",NA,"ring-necked duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Aythya","collaris",NA,"",NA,"native","S5B,S5N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2011-05-10","Michael Hoebel","iNat:4046933","",7044,"BIR"
"24","Aythya marila","(Linnaeus, 1761)",NA,"greater scaup","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Aythya","marila",NA,"",NA,"native","S4N (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"25","Bombycilla cedrorum","Vieillot, 1808",NA,"cedar waxwing","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Bombycillidae","",NA,"Bombycilla","cedrorum",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2014-05-30","Michael Hoebel","iNat:4046864","",7428,"BIR"
"26","Bonasa umbellus brunnescens","(Linnaeus, 1766)",NA,"ruffed grouse","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,"Phasianidae","",NA,"Bonasa","umbellus",NA,"brunnescens",NA,"native","S5 (2015)",NA,"reported","unobserved","1991-04-25","R. Smith","UBC","B015112",NA,"","","","",NA,"BIR"
"27","Brachyramphus marmoratus","(Gmelin, 1789)",NA,"marbled murrelet","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Alcidae","",NA,"Brachyramphus","marmoratus",NA,"",NA,"native","S3B,S3N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-12-20","Andrew Simon","iNat:2562765","",4531,"BIR"
"28","Branta canadensis","(Linnaeus, 1758)",NA,"Canada goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Branta","canadensis",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2007-01-10","Shera Street","iNat:2635233","",7089,"BIR"
"29","Branta hutchinsii","(Richardson, 1832)",NA,"cackling goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Branta","hutchinsii",NA,"",NA,"native","S4S5M (2015)",NA,"reported","unobserved","2017-05-07","Nancy Tamblyn","eBird","",NA,"","","","",NA,"BIR"
"30","Bubo virginianus","(Gmelin, 1788)",NA,"great horned owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,"Strigidae","",NA,"Bubo","virginianus",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2018-06-28","Kevin Toomer","iNat:13864466","",20044,"BIR"
"31","Bucephala albeola","(Linnaeus, 1758)",NA,"bufflehead","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Bucephala","albeola",NA,"",NA,"native","S5B, SNRN (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2010-02-19","Michael Hoebel","iNat:4046948","",6993,"BIR"
"32","Bucephala clangula","(Linnaeus, 1758)",NA,"common goldeneye","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Bucephala","clangula",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2012-04-19","B. J. Stacey","iNat:167229","",6990,"BIR"
"33","Bucephala islandica","(Gmelin, 1789)",NA,"barrow's goldeneye","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Bucephala","islandica",NA,"",NA,"native","S4S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-02-04","Kris Krüg","iNat:2644709","",6994,"BIR"
"34","Buteo jamaicensis","(Gmelin, 1788)",NA,"red-tailed hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,"Accipitridae","",NA,"Buteo","jamaicensis",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2009-07-27","Cameron Deckert","iNat:19139396","",5212,"BIR"
"35","Calidris alpina","(Linnaeus, 1758)",NA,"Dunlin","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Scolopacidae","",NA,"Calidris","alpina",NA,"",NA,"native","S4N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2019-05-04","Joan Septembre","iNat:24714336","",3857,"BIR"
"36","Calidris mauri","Cabanis, 1857",NA,"western sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Scolopacidae","",NA,"Calidris","mauri",NA,"",NA,"native","S4M (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"37","Calidris virgata","(Gmelin, 1789)",NA,"surfbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Scolopacidae","",NA,"Calidris","virgata",NA,"",NA,"native","S4M (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2014-10-19","Michael Hoebel","iNat:4054037","",339592,"BIR"
"38","Calypte anna","(Lesson, 1829)",NA,"Anna's hummingbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Caprimulgiformes",NA,NA,"Trochilidae","",NA,"Calypte","anna",NA,"",NA,"native","S4S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2014-03-14","Michael Hoebel","iNat:4046916","",6317,"BIR"
"39","Cardellina pusilla","(Wilson, 1811)",NA,"Wilson’s warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Parulidae","",NA,"Cardellina","pusilla",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-07-15","Michael Hoebel","iNat:4053962","",145276,"BIR"
"40","Cathartes aura","(Linnaeus, 1758)",NA,"turkey vulture","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Cathartiformes",NA,NA,"Cathartidae","",NA,"Cathartes","aura",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2006-08-14","Karolle Wall","iNat:97172668","",4756,"BIR"
"41","Catharus guttatus","(Pallas, 1811)",NA,"hermit thrush","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Turdidae","",NA,"Catharus","guttatus",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2013-04-28","Michael Hoebel","iNat:4046977","",12890,"BIR"
"42","Catharus ustulatus","(Nuttall, 1840)",NA,"Swainson's thrush","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Turdidae","",NA,"Catharus","ustulatus",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-07-07","Andrew Simon","iNat:3641204","",12878,"BIR"
"43","Cepphus columba","Pallas, 1811",NA,"pigeon guillemot","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Alcidae","",NA,"Cepphus","columba",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2014-05-23","Steve Murray","iNat:149950925","",4415,"BIR"
"44","Cerorhinca monocerata","Pallas, 1811",NA,"rhinoceros auklet","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Alcidae","",NA,"Cerorhinca","monocerata",NA,"",NA,"native","S4 (2016)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2017-04-22","Michael Hoebel","iNat:19548007","",4553,"BIR"
"45","Certhia americana","Bonaparte, 1838",NA,"brown creeper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Certhiidae","",NA,"Certhia","americana",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2011-07-25","lesfreck","iNat:86518607","",7458,"BIR"
"46","Chaetura vauxi","(Townsend, 1839)",NA,"Vaux’s swift","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Caprimulgiformes",NA,NA,"Apodidae","",NA,"Chaetura","vauxi",NA,"",NA,"native","S5B (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"47","Charadrius semipalmatus","(Bonaparte, 1825)",NA,"semi-palmated plover","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Charadriidae","",NA,"Charadrius","semipalmatus",NA,"",NA,"native","S4S5B (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"48","Charadrius vociferus","Linnaeus, 1758",NA,"killdeer","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Charadriidae","",NA,"Charadrius","vociferus",NA,"",NA,"native","S4S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-10-16","Sarah Tweedale","iNat:2929529","",4793,"BIR"
"49","Chen caerulescens","(Linnaeus, 1758)",NA,"snow goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Chen","caerulescens",NA,"",NA,"native","S4M (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"50","Chordeiles minor","(J.R. Foster, 1771)",NA,"common nighthawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Caprimulgiformes",NA,NA,"Caprimulgidae","",NA,"Chordeiles","minor",NA,"",NA,"native","S4B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-07-28","Andrew Simon","iNat:3767319","",19577,"BIR"
"51","Chroicocephalus philadelphia","(Ord, 1815)",NA,"Bonaparte's gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Laridae","Larinae",NA,"Chroicocephalus","philadelphia",NA,"",NA,"native","S5? (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2012-04-19","B. J. Stacey","iNat:167227","",144502,"BIR"
"52","Cinclus mexicanus","Swainson, 1827",NA,"American dipper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Cinclidae","",NA,"Cinclus","mexicanus",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2017-02-01","Christopher King","iNat:5815600","",7643,"BIR"
"53","Circus hudsonius","(Linnaeus, 1766)",NA,"northern harrier","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,"Accipitridae","",NA,"Circus","hudsonius",NA,"",NA,"native","S4B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2018-07-16","Kevin Toomer","iNat:14433258","",558446,"BIR"
"54","Cistothorus palustris","(Wilson, A, 1810)",NA,"marsh wren","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Troglodytidae","",NA,"Cistothorus","palustris",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-01-24","Lauren Magner & Andrew Simon","iNat:2616528","",7601,"BIR"
"55","Clangula hyemalis","(Linnaeus, 1758)",NA,"long-tailed duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Clangula","hyemalis",NA,"",NA,"native","S2S3B,S4N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2022-02-19","Ellyne Geurts","iNat:110922024","",7170,"BIR"
"56","Coccothraustes vespertinus","(W. Cooper, 1825)",NA,"evening grosbeak","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Fringillidae","",NA,"Coccothraustes","vespertinus",NA,"",NA,"native","S5 (2015); SC (2016)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-05-21","Sarah Tweedale","iNat:4039972","",9800,"BIR"
"57","Colaptes auratus","(Linnaeus, 1758)",NA,"northern flicker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,"Picidae","",NA,"Colaptes","auratus",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-02-12","Lauren Magner & Andrew Simon","iNat:2565721","",18236,"BIR"
"58","Columba livia domestica","Gmelin, 1789",NA,"rock pigeon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Columbiformes",NA,NA,"Columbidae","",NA,"Columba","livia",NA,"domestica",NA,"exotic","unlisted",NA,"confirmed","observed","2012-05-12","","VMS","",NA,"2017-02-10","Christian Adler","iNat:5179014","",122767,"BIR"
"59","Contopus cooperi","(Swainson, 1832)",NA,"olive-sided flycatcher","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Tyrannidae","",NA,"Contopus","cooperi",NA,"",NA,"native","S3S4B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2012-05-20","Michael Hoebel","iNat:4046887","",16110,"BIR"
"60","Contopus sordidulus","(Sclater, 1859)",NA,"western wood-pewee","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Tyrannidae","",NA,"Contopus","sordidulus",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2020-08-02","Liam Steele","iNat:70325775","",16079,"BIR"
"61","Corthylio calendula","(Linnaeus, 1766)",NA,"ruby-crowned kinglet","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Regulidae","",NA,"Corthylio","calendula",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-03-26","Kristian Sigvardsen","iNat:2926950","",1289388,"BIR"
"62","Corvus brachyrhynchos","Baird, 1858",NA,"northwestern crow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Corvidae","",NA,"Corvus","brachyrhynchos",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2012-07-23","lesfreck","iNat:86523788","",8021,"BIR"
"63","Corvus corax","Linnaeus, 1758",NA,"common raven","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Corvidae","",NA,"Corvus","corax",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-02-12","Lauren Magner & Andrew Simon","iNat:2565259","",8010,"BIR"
"64","Cyanocitta stelleri","(Gmelin, 1788)",NA,"Steller's jay","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Corvidae","",NA,"Cyanocitta","stelleri",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-03-29","Michael Hoebel","iNat:4046909","",8234,"BIR"
"65","Cygnus buccinator","Richardson, 1832",NA,"trumpeter swan","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Cygnus","buccinator",NA,"",NA,"native","S4B,S5N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2018-01-25","Jen Kovach","iNat:9616415","",6915,"BIR"
"66","Cygnus olor","(Gmelin, 1789)",NA,"mute swan","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Cygnus","olor",NA,"",NA,"exotic","unlisted",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"67","Cypseloides niger","(Gmelin, 1789)",NA,"black swift","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Caprimulgiformes",NA,NA,"Apodidae","",NA,"Cypseloides","niger",NA,"",NA,"native","S2S3B (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"68","Dendragapus fuliginosus","(Ridgway, 1873)",NA,"sooty grouse","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,"Phasianidae","",NA,"Dendragapus","fuliginosus",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2017-04-28","Andrew Simon","iNat:6019290","",72797,"BIR"
"69","Dryobates pubescens","(Linnaeus, 1766)",NA,"downy woodpecker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,"Picidae","",NA,"Dryobates","pubescens",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-03-26","Kristian Sigvardsen","iNat:2926951","",792988,"BIR"
