"","Taxon","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","latitude","longitude","geoprivacy","private_latitude","private_longitude","id"
"56","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.8979416667,-123.3993444444,"",NA,NA,25655200
"57","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9115854919,-123.3866967238,"",NA,NA,41879848
"58","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.8659537359,-123.3503779981,"",NA,NA,43555570
"59","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.94404167,-123.50147167,"",NA,NA,57301167
"60","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9310216667,-123.4747866667,"",NA,NA,62512802
"61","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9283492875,-123.4677742794,"",NA,NA,84499366
"62","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9849033333,-123.558935,"",NA,NA,89513099
"63","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9483666667,-123.5019016667,"",NA,NA,107022556
"64","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.86535,-123.350148,"",NA,NA,111351939
"65","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.876465,-123.3676033333,"",NA,NA,129778456
"66","Festuca rubra ssp. pruinosa","Festuca","rubra","","pruinosa","","native","S5? (2020)","",48.9102055556,-123.3751805556,"",NA,NA,121538510
"67","Juncus arcticus ssp. alaskanus","Juncus","arcticus","","alaskanus","","native","S5","",48.982774,-123.555121,"",NA,NA,6479435
"68","Juncus effusus ssp. pacificus","Juncus","effusus","","pacificus","","native","S5 (2015)","",48.8638056058,-123.3723080886,"",NA,NA,52033159
"69","Juncus effusus ssp. pacificus","Juncus","effusus","","pacificus","","native","S5 (2015)","",48.9307366667,-123.475625,"",NA,NA,52474939
"70","Juncus effusus ssp. pacificus","Juncus","effusus","","pacificus","","native","S5 (2015)","",48.8743833333,-123.319595,"",NA,NA,86360380
"71","Juncus effusus ssp. pacificus","Juncus","effusus","","pacificus","","native","S5 (2015)","",48.873675,-123.3433616667,"",NA,NA,87960709
"72","Juncus effusus ssp. pacificus","Juncus","effusus","","pacificus","","native","S5 (2015)","",48.87084,-123.32118,"",NA,NA,121538458
"73","Juncus effusus ssp. pacificus","Juncus","effusus","","pacificus","","native","S5 (2015)","",48.90977,-123.3727066667,"",NA,NA,121538549
"75","Lepidium virginicum ssp. menziesii","Lepidium","virginicum","","menziesii","","native","S5","",48.8970216667,-123.4053133333,"",NA,NA,48091418
"76","Lepidium virginicum ssp. menziesii","Lepidium","virginicum","","menziesii","","native","S5","",48.8684266667,-123.3780833333,"",NA,NA,81146976
"77","Lepidium virginicum ssp. menziesii","Lepidium","virginicum","","menziesii","","native","S5","",48.866025,-123.3683066667,"",NA,NA,85291218
"78","Lepidium virginicum ssp. menziesii","Lepidium","virginicum","","menziesii","","native","S5","",48.8659883333,-123.3745933333,"",NA,NA,114122114
"79","Lepidium virginicum ssp. menziesii","Lepidium","virginicum","","menziesii","","native","S5","",48.8702333333,-123.38001,"",NA,NA,116636181
"80","Lepidium virginicum ssp. menziesii","Lepidium","virginicum","","menziesii","","native","S5","",48.8633766667,-123.3626,"",NA,NA,116636253
"81","Lysimachia europaea ssp. arctica","Lysimachia","europaea","","arctica","","native","S5","",48.983659,-123.556323,"",NA,NA,3296137
"82","Lysimachia europaea ssp. arctica","Lysimachia","europaea","","arctica","","native","S5","",48.983659,-123.556323,"",NA,NA,3296161
"83","Lysimachia europaea ssp. arctica","Lysimachia","europaea","","arctica","","native","S5","",48.983659,-123.556323,"",NA,NA,3296469
"84","Lysimachia europaea ssp. arctica","Lysimachia","europaea","","arctica","","native","S5","",48.982325,-123.554778,"",NA,NA,6453548
"85","Lysimachia europaea ssp. arctica","Lysimachia","europaea","","arctica","","native","S5","",48.983364,-123.556359,"",NA,NA,13224925
"86","Lysimachia europaea ssp. arctica","Lysimachia","europaea","","arctica","","native","S5","",48.9835387686,-123.556732881,"",NA,NA,15412684
"87","Lysimachia europaea ssp. arctica","Lysimachia","europaea","","arctica","","native","S5","",48.9834194444,-123.5559027778,"",NA,NA,121838567
"88","Maianthemum racemosum ssp. amplexicaule","Maianthemum","racemosum","","amplexicaule","","native","S5","",48.86296,-123.35058,"",NA,NA,122258286
"89","Plectritis congesta ssp. brachystemon","Plectritis","congesta","","brachystemon","","native","S5","",48.916645,-123.424273,"",NA,NA,3094142
"90","Plectritis congesta ssp. brachystemon","Plectritis","congesta","","brachystemon","","native","S5","",48.916645,-123.424273,"",NA,NA,3094165
"91","Plectritis congesta ssp. brachystemon","Plectritis","congesta","","brachystemon","","native","S5","",48.91625,-123.424959,"",NA,NA,3094355
"92","Plectritis congesta ssp. brachystemon","Plectritis","congesta","","brachystemon","","native","S5","",48.915636,-123.423867,"",NA,NA,11251353
"93","Plectritis congesta ssp. brachystemon","Plectritis","congesta","","brachystemon","","native","S5","",48.958745,-123.533369,"",NA,NA,12373840
"94","Plectritis congesta ssp. brachystemon","Plectritis","congesta","","brachystemon","","native","S5","",49.014015,-123.57371,"",NA,NA,24259248
"95","Plectritis congesta ssp. brachystemon","Plectritis","congesta","","brachystemon","","native","S5","",48.8709983333,-123.382125,"",NA,NA,81147042
"96","Plectritis congesta ssp. brachystemon","Plectritis","congesta","","brachystemon","","native","S5","",49.0140166667,-123.57372,"",NA,NA,123934602
"97","Sagina decumbens ssp. occidentalis","Sagina","decumbens","","occidentalis","","native","S5","",48.9006968474,-123.336124418,"",NA,NA,6425199
"98","Sagina decumbens ssp. occidentalis","Sagina","decumbens","","occidentalis","","native","S5","",48.9006968474,-123.336124418,"",NA,NA,6425218
"99","Sagina decumbens ssp. occidentalis","Sagina","decumbens","","occidentalis","","native","S5","",48.8720261591,-123.3114266396,"",NA,NA,6434847
"100","Urtica dioica ssp. gracilis","Urtica","dioica","","gracilis","","native","S5 (2019)","",48.8652416667,-123.3642833333,"",NA,NA,85291245
"101","Urtica dioica ssp. gracilis","Urtica","dioica","","gracilis","","native","S5 (2019)","",48.87237,-123.3400916667,"",NA,NA,87960705
"102","Veronica peregrina var. xalapensis","Veronica","peregrina","","xalapensis","","native","S4S5 (2015)","",48.909325,-123.3706366667,"",NA,NA,121538561
"103","Circaea alpina ssp. pacifica","Circaea","alpina","","pacifica","","native","S5","",48.868328,-123.345823,"",NA,NA,2561121
"104","Circaea alpina ssp. pacifica","Circaea","alpina","","pacifica","","native","S5","",48.995741,-123.577927,"",NA,NA,13224719
"105","Urtica dioica ssp. gracilis","Urtica","dioica","","gracilis","","native","S5 (2019)","",48.8652416667,-123.3642833333,"",NA,NA,85291245
"106","Urtica dioica ssp. gracilis","Urtica","dioica","","gracilis","","native","S5 (2019)","",48.87237,-123.3400916667,"",NA,NA,87960705
"107","Athyrium filix-femina ssp. cyclosorum","Athyrium","filix-femina","","cyclosorum","","native","S5","",48.930236,-123.467016,"",NA,NA,2567709
"108","Athyrium filix-femina ssp. cyclosorum","Athyrium","filix-femina","","cyclosorum","","native","S5","",48.8742966667,-123.34268,"",NA,NA,3164023
"109","Acer glabrum var. douglasii","Acer","glabrum","","","douglasii","native","S5","",48.888325,-123.3365166667,"",NA,NA,3852586
"110","Acer glabrum var. douglasii","Acer","glabrum","","","douglasii","native","S5","",48.8658576255,-123.3501205668,"",NA,NA,13974252
"111","Acer glabrum var. douglasii","Acer","glabrum","","","douglasii","native","S5","",48.8655491697,-123.3501088017,"",NA,NA,43555529
"112","Acer glabrum var. douglasii","Acer","glabrum","","","douglasii","native","S5","",49.0117551491,-123.5742550987,"",NA,NA,57099066
"113","Acer glabrum var. douglasii","Acer","glabrum","","","douglasii","native","S5","",48.9060966667,-123.3613533333,"",NA,NA,111052776
"114","Acer glabrum var. douglasii","Acer","glabrum","","","douglasii","native","S5","",48.8882883333,-123.336465,"",NA,NA,121538488
"115","Acer glabrum var. douglasii","Acer","glabrum","","","douglasii","native","S5","",49.01205,-123.5745416667,"",NA,NA,123934491
"116","Agoseris grandiflora var. leptophylla","Agoseris","grandiflora","","","leptophylla","native","S5","",48.867549,-123.339915,"",NA,NA,3040898
"117","Agoseris grandiflora var. leptophylla","Agoseris","grandiflora","","","leptophylla","native","S5","",48.867271,-123.338217,"",NA,NA,3461616
"118","Agoseris grandiflora var. leptophylla","Agoseris","grandiflora","","","leptophylla","native","S5","",48.8676055556,-123.3390888889,"",NA,NA,13973459
"119","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.932092,-123.482809,"",NA,NA,2567445
"120","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.931669,-123.482337,"",NA,NA,2588084
"121","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",49.010444,-123.570595,"",NA,NA,2588468
"122","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9092826401,-123.3774730191,"",NA,NA,2860899
"123","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8744155827,-123.3282749602,"",NA,NA,2914500
"124","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.861539,-123.315074,"",NA,NA,2914501
"125","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.917265,-123.406849,"",NA,NA,2915793
"126","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.874288,-123.329133,"",NA,NA,2989819
"127","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.867549,-123.339915,"",NA,NA,3040946
"128","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.867549,-123.339915,"",NA,NA,3040951
"129","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9043641544,-123.3576893806,"",NA,NA,5900407
"130","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8988630925,-123.3539128304,"",NA,NA,5953040
"131","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8977345947,-123.3619058132,"",NA,NA,5993200
"132","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.927349219,-123.4673595428,"",NA,NA,6217458
"133","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9275888848,-123.4678316116,"",NA,NA,6218077
"134","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9271236501,-123.4668445587,"",NA,NA,6298756
"135","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",NA,NA,"private",NA,NA,7157283
"136","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.971984307,-123.5621017442,"",NA,NA,10818531
"137","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9776322701,-123.5653998552,"",NA,NA,10829496
"138","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8630972222,-123.3281333333,"",NA,NA,10916359
"139","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.984704,-123.555831,"",NA,NA,11102683
"140","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8963805556,-123.4101416667,"",NA,NA,11168503
"141","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8795055556,-123.3357916667,"",NA,NA,11435785
"142","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.91732,-123.3972033333,"",NA,NA,11577179
"143","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8980866667,-123.3498216667,"",NA,NA,11810288
"144","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.92741,-123.466743,"",NA,NA,12258694
"145","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.916106,-123.395972,"",NA,NA,12655268
"146","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.880411,-123.33671,"",NA,NA,12789829
"147","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9269701826,-123.4655328735,"",NA,NA,16307950
"148","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8967112179,-123.4018128676,"",NA,NA,16739930
"149","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9731457665,-123.561974138,"",NA,NA,21985678
"150","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8729798677,-123.355549405,"",NA,NA,22642532
"151","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",49.0064083333,-123.5803133333,"",NA,NA,22659095
"152","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9563599309,-123.5312189566,"",NA,NA,22708729
"153","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9016569872,-123.3469721117,"",NA,NA,22726518
"154","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9100616667,-123.385925,"",NA,NA,22735329
"155","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8790583333,-123.3196583333,"",NA,NA,22841963
"156","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8754366667,-123.324845,"",NA,NA,23815849
"157","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8753916667,-123.325025,"",NA,NA,23818611
"158","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9281388889,-123.4719166667,"",NA,NA,24352856
"159","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",49.005115,-123.5762866667,"",NA,NA,24497737
"160","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8971073659,-123.4073330676,"",NA,NA,24536647
"161","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8800621033,-123.3353424072,"",NA,NA,24567639
"162","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8680216667,-123.3389283333,"",NA,NA,24570108
"163","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8986129761,-123.4080581665,"",NA,NA,24607029
"164","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8977583333,-123.4081277778,"",NA,NA,24677359
"165","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8954555556,-123.4060833333,"",NA,NA,24677389
"166","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8956027778,-123.4062638889,"",NA,NA,24677492
"167","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8977583333,-123.4081277778,"",NA,NA,24677550
"168","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8955111111,-123.4057611111,"",NA,NA,24677581
"169","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9012321,-123.40455998,"",NA,NA,24690038
"170","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.879067,-123.33623,"",NA,NA,24690349
"171","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.879857,-123.334903,"",NA,NA,24690922
"172","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8972972222,-123.4075,"",NA,NA,24701241
"173","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8947916667,-123.4048166667,"",NA,NA,24701283
"174","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8942,-123.4039916667,"",NA,NA,24701286
"175","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8937305556,-123.4040361111,"",NA,NA,24701302
"176","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.89375,-123.4039472222,"",NA,NA,24701303
"177","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8961555556,-123.4103555556,"",NA,NA,24701345
"178","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8981809274,-123.4072720259,"",NA,NA,24712151
"179","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8963663947,-123.4075035791,"",NA,NA,24714789
"180","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9015591704,-123.40445227,"",NA,NA,24715747
"181","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8942066667,-123.404175,"",NA,NA,24873194
"182","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.897105,-123.4076416667,"",NA,NA,24873195
"183","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8960933732,-123.4094056395,"",NA,NA,24942734
"184","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8964062697,-123.4100802989,"",NA,NA,24942735
"185","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9012444444,-123.4043722222,"",NA,NA,25542472
"186","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8972694444,-123.4076388889,"",NA,NA,25655024
"187","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.89405,-123.4039305556,"",NA,NA,25655026
"188","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.89515,-123.404975,"",NA,NA,25746718
"189","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8938666667,-123.4041833333,"",NA,NA,32120941
"190","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.880474,-123.337197,"",NA,NA,41849743
"191","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8663268283,-123.3700086865,"",NA,NA,42637580
"192","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.9867856709,-123.5715354708,"",NA,NA,45310605
"193","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",49.0106867559,-123.5738770868,"",NA,NA,60477726
"194","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.897155,-123.40758667,"",NA,NA,73149400
"195","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8805555556,-123.3361111111,"",NA,NA,74297945
"196","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",49.0103956786,-123.5699135761,"",NA,NA,74339530
"197","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8861090997,-123.3889534997,"",NA,NA,74340228
"198","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8940416667,-123.40397,"",NA,NA,75508558
"199","Calypso bulbosa var. occidentalis","Calypso","bulbosa","","","occidentalis","native","S5","",48.8941533333,-123.4041216667,"",NA,NA,75593947
