"Taxon","Curator.Decision","Curator.Notes"
"Bromus carinatus","SYNONYM","Syn. Bromus carinatus var. carinatus"
"Cakile edentula","SYNONYM","Syn. Cakile edentula var. edentula"
"Cakile maritima","SYNONYM","Syn. Cakile maritima ssp. maritima"
"Calypso bulbosa","SYNONYM","Syn. Calypso bulbosa var. occidentalis"
"Camassia leichtlinii","SYNONYM","Syn. Camassia leichtlinii ssp. suksdorfii"
"Camassia quamash","SYNONYM","Syn. Camassia quamash ssp. quamash"
"Carex aquatilis","SYNONYM","Syn. Carex aquatilis var. dives"
"Carex canescens","SYNONYM","Syn. Carex canescens ssp. canescens"
"Carex echinata","DELETE","unresolved infrataxon"
"Carex inops","SYNONYM","Syn. Carex inops ssp. inops"
"Castilleja hispida hispida","SYNONYM","Syn. Castilleja hispida"
"Cerastium arvense","SYNONYM","Syn. Cerastium arvense ssp. strictum"
"Chimaphila umbellata","SYNONYM","Syn. Chimaphila umbellata ssp. umbellata"
"Clarkia amoena","DELETE","unresolved infrataxon"
"Claytonia exigua","DELETE","unresolved infrataxon"
"Corallorhiza maculata","DELETE","unresolved infrataxon"
"Corallorhiza striata","SYNONYM","Syn. Corallorhiza striata var. striata"
"Cornus sericea","SYNONYM","Syn. Cornus sericea ssp. occidentalis"
"Corylus cornuta","SYNONYM","Syn. Corylus cornuta ssp. californica"
"Crocus","DELETE","non-established"
"Crocus × stellaris","DELETE","non-established"
"Cuscuta pacifica","SYNONYM","Syn. Cuscuta pacifica var. pacifica"
"Elymus glaucus","SYNONYM","Syn. Elymus glaucus ssp. glaucus"
"Equisetum hyemale","SYNONYM","Syn. Equisetum hyemale ssp. affine"
"Equisetum telmateia","SYNONYM","Syn. Equisetum telmateia ssp. braunii"
"Eriophyllum lanatum","SYNONYM","Syn. Eriophyllum lanatum var. leucophyllum"
"Eriophyllum lanatum integrifolium","SYNONYM","Syn. Eriophyllum lanatum var. leucophyllum"
"Festuca microstachys","SYNONYM","Syn. Festuca microstachys var. pauciflora"
"Festuca roemeri","SYNONYM","Syn. Festuca roemeri var. roemeri"
"Festuca rubra","DELETE","unresolved infrataxon"
"Foeniculum vulgare","DELETE","non-established"
"Fragaria vesca","SYNONYM","Syn. Fragaria vesca ssp. bracteata"
"Fritillaria affinis affinis","SYNONYM","Syn. Fritillaria affinis"
"Geum macrophyllum macrophyllum","SYNONYM","Syn. Geum macrophyllum"
"Grindelia integrifolia","SYNONYM","Syn. Grindelia stricta"
"Heuchera micrantha","SYNONYM","Syn. Heuchera micrantha var. diversifolia"
"Holodiscus discolor","SYNONYM","Syn. Holodiscus discolor var. discolor"
"Hordeum brachyantherum","SYNONYM","Syn. Hordeum brachyantherum ssp. brachyantherum"
"Hordeum murinum","DELETE","unresolved infrataxon"
"Hyacinthoides hispanica","DELETE","non-established"
"Hyacinthoides non-scripta","DELETE","non-established"
"Hyacinthus orientalis","DELETE","non-established"
"Juncus effusus","DELETE","unresolved infrataxon"
"Kalmia microphylla","SYNONYM","Syn. Kalmia microphylla var. occidentalis"
"Lamium purpureum purpureum","SYNONYM","Syn. Lamium purpureum"
"Lathyrus nevadensis","SYNONYM","Syn. Lathyrus nevadensis var. pilosellus"
"Leontodon saxatilis","SYNONYM","Syn. Leontodon saxatilis ssp. saxatilis"
"Lepidium virginicum","SYNONYM","Syn. Lepidium virginicum ssp. menziesii"
"Leucanthemum × superbum","DELETE","non-established"
"Leucanthemum maximum","DELETE","non-established"
"Leymus mollis","SYNONYM","Syn. Leymus mollis ssp. mollis"
"Linnaea borealis","SYNONYM","Syn. Linnaea borealis ssp. longiflora"
"Luzula comosa","DELETE","unresolved infrataxon"
"Luzula multiflora","SYNONYM","Syn. Luzula multiflora ssp. multiflora"
"Lysimachia europaea","SYNONYM","Syn. Lysimachia europaea ssp. arctica"
"Montia parvifolia parvifolia","SYNONYM","Syn. Montia parvifolia"
"Persicaria amphibia stipulacea","SYNONYM","Syn. Persicaria amphibia"
"Pinus contorta","SYNONYM","Syn. Pinus contorta ssp. contorta"
"Plantago maritima juncoides","SYNONYM","Syn. Plantago maritima"
"Plectritis congesta","DELETE","unresolved infrataxon"
"Populus alba","DELETE","non-established"
"Prunus domestica","DELETE","non-established"
"Pseudotsuga menziesii","SYNONYM","Syn. Pseudotsuga menziesii var. menziesii"
"Pteridium aquilinum","SYNONYM","Syn. Pteridium aquilinum ssp. pubescens"
"Quercus garryana","SYNONYM","Syn. Quercus garryana var. garryana"
"Ribes divaricatum","SYNONYM","Syn. Ribes divaricatum var. divaricatum"
"Rosa gymnocarpa gymnocarpa","SYNONYM","Syn. Rosa gymnocarpa"
"Rosa multiflora","DELETE","non-established"
"Rosa nutkana","SYNONYM","Syn. Rosa nutkana ssp. nutkana"
"Rubus armeniacus","SYNONYM","Syn. Rubus bifrons"
"Sagina decumbens","SYNONYM","Syn. Sagina decumbens ssp. occidentalis"
"Salicornia perennis","SYNONYM","Syn. Salicornia pacifica"
"Salix lasiandra","SYNONYM","Syn. Salix lasiandra var. lasiandra"
"Sambucus racemosa","SYNONYM","Syn. Sambucus racemosa var. arborescens"
"Sanicula crassicaulis","SYNONYM","Syn. Sanicula crassicaulis var. crassicaulis"
"Sedum lanceolatum","SYNONYM","Syn. Sedum lanceolatum var. nesioticum"
"Sisyrinchium idahoense","SYNONYM","Syn. Sisyrinchium idahoense var. idahoense"
"Sonchus arvensis","SYNONYM","Syn. Sonchus arvensis ssp. arvensis"
"Spergularia macrotheca","SYNONYM","Syn. Spergularia macrotheca var. macrotheca"
"Spiraea douglasii","SYNONYM","Syn. Spiraea douglasii var. douglasii"
"Stachys chamissonis","SYNONYM","Syn. Stachys chamissonis var. cooleyae"
"Symphoricarpos albus","SYNONYM","Syn. Symphoricarpos albus var. laevigatus"
"Symphoricarpos albus albus","SYNONYM","Syn. Symphoricarpos albus var. laevigatus"
"Symphoricarpos mollis hesperius","SYNONYM","Syn. Symphoricarpos mollis"
"Tiarella trifoliata","DELETE","unresolved infrataxon"
"Trifolium variegatum geminiflorum","SYNONYM","Syn. Trifolium variegatum"
"Ulmus","DELETE","non-established"
"Ulmus minor","DELETE","non-established"
"Urtica gracilis gracilis","SYNONYM","Syn. Urtica gracilis ssp. gracilis"
"Veronica serpyllifolia serpyllifolia","SYNONYM","Syn. Veronica serpyllifolia"
"Vicia villosa","SYNONYM","Syn. Vicia villosa var. villosa"
