"Taxon","ID","Curator.Decision","Curator.Notes"
"Chironiinae","794437","DELETE","higher"
"Cichorieae","359450","DELETE","higher"
"Cichorioideae","447425","DELETE","higher"
"Circaea","47933","DELETE","genus"
"Cirsium","48561","DELETE","genus"
"Clarkia","47789","DELETE","genus"
"Claytonia","52995","DELETE","genus"
"Clematis","1398783","DELETE","higher"
"Collinsia","47324","DELETE","genus"
"Convolvulaceae","52345","DELETE","higher"
"Corallorhiza","49445","DELETE","genus"
"Cornaceae","47194","DELETE","higher"
"Cornus","47193","DELETE","genus"
"Corylus","53373","DELETE","genus"
"Cotoneaster","53376","DELETE","genus"
"Crassulaceae","51890","DELETE","higher"
"Crataegus","51148","DELETE","genus"
"Crepidinae","632701","DELETE","higher"
"Crepis","54051","DELETE","genus"
"Crocus vernus","1371920","DELETE","higher"
"Cupressaceae","47374","DELETE","higher"
"Cupressoideae","1150915","DELETE","higher"
"Cyclamen","55869","DELETE","genus"
"Cynosurus","47696","DELETE","genus"
"Cyperaceae","47161","DELETE","higher"
"Cyperoideae","873509","DELETE","higher"
"Dactylis","52721","DELETE","genus"
"Danthonia","57166","DELETE","genus"
"Daucus","56727","DELETE","genus"
"Delphinieae","738998","DELETE","higher"
"Digitalis","53984","DELETE","genus"
"Distichlis","58373","DELETE","genus"
"Duravia","1413449","DELETE","higher"
"Eleocharis","57022","DELETE","genus"
"Epidendreae","546957","DELETE","higher"
"Epilobium","52972","DELETE","genus"
"Equisetum","1423802","DELETE","higher"
"Eriophyllum","53396","DELETE","genus"
"Erodium","47688","DELETE","genus"
"Erythranthe","319976","DELETE","genus"
"Erythronium","48241","DELETE","genus"
"Esula","785083","DELETE","higher"
"Euphorbia","51822","DELETE","genus"
"Fabaceae","47122","DELETE","higher"
"Fabeae","633087","DELETE","higher"
"Faboideae","507502","DELETE","higher"
"Fagaceae","47852","DELETE","higher"
"Fallopia","72133","DELETE","genus"
"Festuca","57170","DELETE","genus"
"Fragaria","50299","DELETE","genus"
"Fragariinae","975959","DELETE","higher"
"Galium","53060","DELETE","genus"
"Gamochaeta","60958","DELETE","genus"
"Gaultheria","48442","DELETE","genus"
"Genea","1089683","DELETE","higher"
"Genisteae","548591","DELETE","higher"
"Geranium","47701","DELETE","genus"
"Geum","55751","DELETE","genus"
"Gnaphalieae","324787","DELETE","higher"
"Gnaphaliinae","1410494","DELETE","higher"
"Gnaphalium","53082","DELETE","genus"
"Gormania","1447323","DELETE","higher"
"Grindelia","55365","DELETE","genus"
"Hamata","967520","DELETE","higher"
"Hedera","55883","DELETE","genus"
"Heuchera","48385","DELETE","genus"
"Heuchereae","1424203","DELETE","higher"
"Holcus","52794","DELETE","genus"
"Hordeum","52797","DELETE","genus"
"Hyacinthoides","56095","DELETE","genus"
"Hypericum","52761","DELETE","genus"
"Hypochaeridinae","558819","DELETE","higher"
"Hypochaeris","51900","DELETE","genus"
"Involucrarium","1582578","DELETE","higher"
"Iridaceae","47781","DELETE","higher"
"Jacobaea","62499","DELETE","genus"
"Juglandaceae","54497","DELETE","higher"
"Juncaceae","52642","DELETE","higher"
"Juncus","52643","DELETE","genus"
"Juniperus","47574","DELETE","genus"
"Kalmia","49398","DELETE","genus"
"Laburnum","51811","DELETE","genus"
"Lamiaceae","48623","DELETE","higher"
"Lamiales","48151","DELETE","higher"
"Lathyrus","50321","DELETE","genus"
"Lemna","54519","DELETE","genus"
"Lemnoideae","502646","DELETE","higher"
"Lepidium","47203","DELETE","genus"
"Leucanthemum","56058","DELETE","genus"
"Leymus","57185","DELETE","genus"
"Ligustrum","69819","DELETE","genus"
"Liliaceae","47328","DELETE","higher"
"Liliopsida","47163","DELETE","higher"
"Liliorhiza","1444122","DELETE","higher"
"Lilium","48928","DELETE","genus"
"Limnia","779781","DELETE","higher"
"Linaria","50791","DELETE","genus"
"Lithophragma","50800","DELETE","genus"
"Lolium","52800","DELETE","genus"
"Lomatium","55343","DELETE","genus"
"Lonicera","51874","DELETE","genus"
"Lophioprason","1080332","DELETE","higher"
"Loteae","533443","DELETE","higher"
"Lotus","47436","DELETE","genus"
"Lupinus","47121","DELETE","genus"
"Luzula","55796","DELETE","genus"
"Lycopus","60208","DELETE","genus"
"Lysimachia","48063","DELETE","genus"
"Madia","53136","DELETE","genus"
"Madieae","179978","DELETE","higher"
"Magnoliopsida","47124","DELETE","higher"
"Maleae","723302","DELETE","higher"
"Malus","54500","DELETE","genus"
"Malva","55978","DELETE","genus"
"Mentha","54570","DELETE","genus"
"Mentheae","918917","DELETE","higher"
"Micranthes","942776","DELETE","higher"
"Mimulosma","982850","DELETE","higher"
"Montia","48790","DELETE","genus"
"Muscari","50921","DELETE","genus"
"Myosotis","49131","DELETE","genus"
"Narcissus","53597","DELETE","genus"
"Nemophila","50651","DELETE","genus"
"Nuphar","57849","DELETE","genus"
"Orchidaceae","47217","DELETE","higher"
"Orchidoideae","738348","DELETE","higher"
"Osmorhiza","53167","DELETE","genus"
"Oxalis","47758","DELETE","genus"
"Padus","483776","DELETE","higher"
"Paniceae","325977","DELETE","higher"
"Panicum","60301","DELETE","genus"
"Papaver","52504","DELETE","genus"
"Papaveraceae","47332","DELETE","higher"
"Perennes","1149076","DELETE","higher"
"Persicaria","61787","DELETE","genus"
"Petasites","55779","DELETE","genus"
"Petrosedum","734821","DELETE","genus"
"Phalaris","57189","DELETE","genus"
"Philadelphus","52470","DELETE","genus"
"Physocarpus","57251","DELETE","genus"
"Picea","63573","DELETE","genus"
"Pinales","47375","DELETE","higher"
"Pinoideae","1456301","DELETE","higher"
"Pinopsida","136329","DELETE","higher"
"Pinus","790732","DELETE","higher"
"Piperia","132363","DELETE","higher"
"Plantaginaceae","50638","DELETE","higher"
"Plantago","50636","DELETE","genus"
"Platanthera","48031","DELETE","genus"
"Plectritis","57285","DELETE","genus"
"Poa","52809","DELETE","genus"
"Poaceae","47434","DELETE","higher"
"Poales","47162","DELETE","higher"
"Poeae","552962","DELETE","higher"
"Polyanthemos","1567664","DELETE","higher"
"Polygonum","48972","DELETE","genus"
"Polypodiales","47754","DELETE","higher"
"Polypodiopsida","121943","DELETE","higher"
"Polypodium","52680","DELETE","genus"
"Polystichum","47752","DELETE","genus"
"Pooideae","514989","DELETE","higher"
"Populus","47566","DELETE","genus"
"Potamogeton","59110","DELETE","genus"
"Prunus","47351","DELETE","genus"
"Pseudognaphalium","53078","DELETE","genus"
"Pseudotsuga","48257","DELETE","genus"
"Pyrola","60369","DELETE","genus"
"Pyrus","58736","DELETE","genus"
"Quercus","861029","DELETE","higher"
"Quinquefoliae","790765","DELETE","higher"
"Ranunculus","48230","DELETE","genus"
"Rhododendron","49487","DELETE","genus"
"Ribes","47130","DELETE","genus"
"Robertium","964902","DELETE","higher"
"Rosa","1607579","DELETE","higher"
"Rosaceae","47148","DELETE","higher"
"Rosoideae","415343","DELETE","higher"
"Ruberta","964908","DELETE","higher"
"Rubus","47544","DELETE","genus"
"Rumex","53196","DELETE","genus"
"Sabina","701533","DELETE","higher"
"Sagina","55677","DELETE","genus"
"Salicornia","52617","DELETE","genus"
"Salix","53453","DELETE","genus"
"Sanguisorbinae","922106","DELETE","higher"
"Scandiceae","790591","DELETE","higher"
"Schoenoplectus","47160","DELETE","genus"
"Scilla","49149","DELETE","genus"
"Sedum","55735","DELETE","genus"
"Selaginella","58771","DELETE","genus"
"Senecio","53207","DELETE","genus"
"Senecioneae","568270","DELETE","higher"
"Senecioninae","901794","DELETE","higher"
"Setaria","50055","DELETE","genus"
"Silene","52195","DELETE","genus"
"Simiolus","982854","DELETE","higher"
"Sisymbrium","53267","DELETE","genus"
"Solanum","50641","DELETE","genus"
"Sonchus","53270","DELETE","genus"
"Sorbus","48582","DELETE","genus"
"Sparganium","61117","DELETE","genus"
"Spergularia","55731","DELETE","genus"
"Spiraea","48681","DELETE","genus"
"Spiraeeae","922116","DELETE","higher"
"Stachys","51229","DELETE","genus"
"Stellaria","49389","DELETE","genus"
"Symphoricarpos","48528","DELETE","genus"
"Symphyotrichum","1416869","DELETE","higher"
"Symphytum","55725","DELETE","genus"
"Taraxacum","47603","DELETE","genus"
"Taxus","47555","DELETE","genus"
"Tellima","51656","DELETE","genus"
"Tiarella","51644","DELETE","genus"
"Torilis","53305","DELETE","genus"
"Toxicoscordion","49650","DELETE","genus"
"Tracheophyta","211194","DELETE","higher"
"Tragopogon","54142","DELETE","genus"
"Trientalis","1196648","DELETE","higher"
"Trifolieae","512504","DELETE","higher"
"Trifolium","51876","DELETE","genus"
"Triplinerviae","1455736","DELETE","higher"
"Tsuga","48255","DELETE","genus"
"Typha","48686","DELETE","genus"
"Urtica","51886","DELETE","genus"
"Urtica dioica","1631210","DELETE","higher"
"Vaccinium","48353","DELETE","genus"
"Valerianella","55754","DELETE","genus"
"Valerianoideae","345609","DELETE","higher"
"Verbascum","56165","DELETE","genus"
"Veronica","51611","DELETE","genus"
"Vicia","52472","DELETE","genus"
"Viola","50829","DELETE","genus"
"Visceae","577688","DELETE","higher"
"Zostera","52616","DELETE","genus"
"Zosteraceae","52615","DELETE","higher"
