scientificName,basisOfRecord,datasetName
Deschampsia elongata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Dulichium arundinaceum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Eleocharis palustris,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Elymus elymoides,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Elymus elymoides ssp. californicus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Elymus glaucus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Elymus hirsutus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Elymus trachycaulus ssp.  trachycaulus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Elymus violaceus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Eriophorum angustifolium,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Festuca occidentalis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Festuca rubra,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Festuca rubra ssp. mediana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Glyceria borealis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Glyceria elata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Glyceria striata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Hordeum brachyantherum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Hordeum jubatum ssp. intermedium,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Isolepis cernua,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus acuminatus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus alpinoarticulatus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus balticus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus covillei,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus drummondii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus effusus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus ensifolius,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus mertensianus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus supiniformis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
