scientificName,basisOfRecord,datasetName
Silene parryi,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Spergularia canadensis var occidentalis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Stellaria borealis ssp. borealis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Stellaria calycantha,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Stellaria crassifolia,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Stellaria crispa,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Stellaria longipes ssp. longipes,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Parnassia fimbriata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Paxistima myrsinites,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Cornus nuttallii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Cornus sericea,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Cornus unalaschkensis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Philadelphus lewisii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Linnaea borealis ssp. longiflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lonicera ciliosa,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lonicera hispidula,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lonicera involucrata var. involucrata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lonicera utahensis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Plectritis congesta,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Sambucus racemosa var. arborescens,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Symphoricarpos albus var laevigatus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Viburnum edule,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Allotropa virgata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Arctostaphylos columbiana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Arctostaphylos uva-ursi,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Arctostaphylos x media,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Cassiope mertensiana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Cassiope mertensiana ssp. mertensiana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Cassiope tetragona,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Chimaphila menziesii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Collomia heterophylla,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Elliottia pyroliflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Empetrum nigrum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Arctostaphylos columbiana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Arctostaphylos uva-ursi,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Arctostaphylos x media,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Cassiope mertensiana ssp. mertensiana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Cassiope tetragona,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Chimaphila menziesii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Collomia heterophylla,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Elliottia pyroliflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Empetrum nigrum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Gaultheria hispidula,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Gaultheria humifusa,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Gaultheria ovatifolia,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Gaultheria shallon,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Hemitomes congestum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Kalmia microphylla var. occidentalis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lysimachia borealis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lysimachia europaea arctica,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lysimachia latifolia,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lysimachia maritima,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lysimachia thyrsiflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Microsteris gracilis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Moneses uniflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Monotropa hypopitys,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Monotropa uniflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Orthilia secunda,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Phlox diffusa longistylis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Phyllodoce empetriformis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Phyllodoce glanduliflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Polemonium viscosum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Primula pauciflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Pterospora andromedea,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Pyrola asarifolia ssp. asarifolia,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Pyrola asarifolia ssp. bracteata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Pyrola minor,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Pyrola picta,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Rhododendron albiflorum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Rhododendron groenlandicum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Rhododendron macrophyllum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Rhododendron menziesii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vaccinium alaskaense,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vaccinium cespitosum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vaccinium deliciosum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vaccinium membranaceum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vaccinium ovalifolium,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vaccinium oxycoccos,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vaccinium parvifolium,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Acmispon parviflorus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Hosackia pinnata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Juncus albescens,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lathyrus japonicus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lathyrus palustris,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lupinus arcticus subalpinus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lupinus littoralis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lupinus polyphyllus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Myrica gale,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Quercus garryana var. garryana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Trifolium microdon,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Trifolium variegatum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Trifolium wormskioldii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vicia americana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Vicia gigantea,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Alnus alnobetula ssp. sinuata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Alnus incana ssp. tenuifolia,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Alnus rubra,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Betula glandulosa,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Betula papyrifera,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Corylus cornuta,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Quercus garryana var. garryana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Apocynum androsaemifolium,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Galium aparine,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Galium trifidum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Galium triflorum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Gentiana sceptrum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Gentiana glauca,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Geranium carolinianum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Callitriche heterophylla var. bolanderi,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Callitriche heterophylla var. heterophylla,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Callitriche palustris,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Castilleja elmeri,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Castilleja hispida var. hispida,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Castilleja miniata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Castilleja parviflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Castilleja parviflora albida,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Castilleja parviflora var. parviflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Castilleja rhexiifolia,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Clinopodium douglasii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Collinsia grandiflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Collinsia parviflora,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Erythranthe caespitosa,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Erythranthe guttata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Erythranthe lewisii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Erythranthe microphylla,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Erythranthe nasuta,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Kopsiopsis hookeri,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Lycopus uniflorus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Melampyrum lineare var. lineare,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Mentha arvensis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Oxyria digyna,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Pedicularis racemosa,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Penstemon davidsonii menziesii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Penstemon procerus tolmiei,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Penstemon serrulatus,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Plantago elongata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Plantago macrocarpa,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Plantago maritima,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Plantago maritima juncoides,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Prunella vulgaris ssp. lanceolata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Veronica beccabunga,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Veronica scutellata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Euphorbia glyptosperma,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Hypericum anagalloides,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Hypericum scouleri,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Populus balsamifera,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Populus tremuloides,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Populus trichocarpa,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Salix arctica,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Salix commutata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Salix hookeriana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Salix lasiandra lasiandra,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Salix nivalis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Salix scouleriana,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Salix sitchensis,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Viola adunca var. adunca,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Viola glabella,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Viola orbiculata,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Viola sempervirens,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Sidalcea hendersonii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Chamaenerion angustifolium,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Chamaenerion latifolium,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Circaea alpina,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Circaea alpina ssp. alpina,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Circaea alpina ssp. pacifica,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium anagallidifolium,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium brachycarpum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium ciliatum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium clavatum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium hornemannii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium hornemannii ssp. behringianum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium hornemannii ssp. hornemannii,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium lactiflorum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium leptocarpum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium luteum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium minutum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Epilobium obscurum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Brasenia schreberi,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Nuphar polysepala,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
Asarum caudatum,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC"
