Taxon,Genus,Species,Hybrid,Subspecies,Variety,Form,Matched.Taxon
Clarkia amoena lindleyi,Clarkia,amoena,,,lindleyi,,Clarkia amoena var. lindleyi
Claytonia exigua,Claytonia,exigua,,,,,Claytonia exigua ssp. exigua
Claytonia exigua exigua,Claytonia,exigua,,exigua,,,Claytonia exigua ssp. exigua
Claytonia rubra,Claytonia,rubra,,,,,Claytonia rubra ssp. depressa
Claytonia rubra depressa,Claytonia,rubra,,depressa,,,Claytonia rubra ssp. depressa
Corallorhiza maculata,Corallorhiza,maculata,,,,,Corallorhiza maculata var. occidentalis
Corallorhiza maculata occidentalis,Corallorhiza,maculata,,,occidentalis,,Corallorhiza maculata var. occidentalis
Corallorhiza striata,Corallorhiza,striata,,,,,Corallorhiza striata var. striata
Corallorhiza striata striata,Corallorhiza,striata,,,striata,,Corallorhiza striata var. striata
Cornus sericea,Cornus,sericea,,,,,Cornus sericea ssp. occidentalis
Cornus sericea occidentalis,Cornus,sericea,,occidentalis,,,Cornus sericea ssp. occidentalis
Corylus cornuta,Corylus,cornuta,,,,,Corylus cornuta ssp. californica
Corylus cornuta californica,Corylus,cornuta,,californica,,,Corylus cornuta ssp. californica
Cotoneaster coriaceus,Cotoneaster,coriaceus,,,,,Cotoneaster lacteus
Cotoneaster lacteus,Cotoneaster,lacteus,,,,,Cotoneaster lacteus
Crataegus monogyna,Crataegus,monogyna,,,,,Crataegus monogyna var. monogyna
Crataegus monogyna monogyna,Crataegus,monogyna,,,monogyna,,Crataegus monogyna var. monogyna
Cuscuta pacifica,Cuscuta,pacifica,,,,,Cuscuta pacifica var. pacifica
Danthonia decumbens x californica,Danthonia,decumbens,Danthonia decumbens x californica,,,,Danthonia decumbens
Elymus glaucus,Elymus,glaucus,,,,,Elymus glaucus ssp. glaucus
Elymus glaucus glaucus,Elymus,glaucus,,glaucus,,,Elymus glaucus ssp. glaucus
Equisetum hyemale,Equisetum,hyemale,,,,,Equisetum hyemale ssp. affine
Equisetum hyemale affine,Equisetum,hyemale,,affine,,,Equisetum hyemale ssp. affine
Equisetum telmateia,Equisetum,telmateia,,,,,Equisetum telmateia ssp. braunii
Equisetum telmateia braunii,Equisetum,telmateia,,braunii,,,Equisetum telmateia ssp. braunii
Eriophorum angustifolium,Eriophorum,angustifolium,,,,,Eriophorum gracile
Eriophyllum lanatum,Eriophyllum,lanatum,,,,,Eriophyllum lanatum var. leucophyllum
Eriophyllum lanatum integrifolium,Eriophyllum,lanatum,,,integrifolium,,Eriophyllum lanatum var. leucophyllum
Eriophyllum lanatum leucophyllum,Eriophyllum,lanatum,,,leucophyllum,,Eriophyllum lanatum var. leucophyllum
Erodium cicutarium,Erodium,cicutarium,,,,,Erodium cicutarium ssp. cicutarium
Erodium cicutarium cicutarium,Erodium,cicutarium,,cicutarium,,,Erodium cicutarium ssp. cicutarium
Erythranthe guttata,Erythranthe,guttata,,,,,Erythranthe cf guttata
Festuca microstachys,Festuca,microstachys,,,,,Festuca microstachys var. pauciflora
Festuca microstachys pauciflora,Festuca,microstachys,,,pauciflora,,Festuca microstachys var. pauciflora
Festuca roemeri,Festuca,roemeri,,,,,Festuca roemeri var. roemeri
Festuca roemeri roemeri,Festuca,roemeri,,,roemeri,,Festuca roemeri var. roemeri
Festuca rubra,Festuca,rubra,,,,,Festuca rubra ssp. pruinosa
Festuca rubra,Festuca,rubra,,,,,Festuca rubra ssp. rubra
Festuca rubra aucta,Festuca,rubra,,aucta,,,Festuca rubra ssp. rubra
Festuca rubra pruinosa,Festuca,rubra,,pruinosa,,,Festuca rubra ssp. pruinosa
Festuca rubra pruinosa,Festuca,rubra,,pruinosa,,,Festuca rubra ssp. pruinosa
Festuca rubra rubra,Festuca,rubra,,rubra,,,Festuca rubra ssp. rubra
Festuca rubra ssp. aucta,Festuca,rubra,,aucta,,,Festuca rubra ssp. rubra
Filago vulgaris,Filago,vulgaris,,,,,Filago germanica
Fragaria vesca,Fragaria,vesca,,,,,Fragaria vesca ssp. bracteata
Fragaria vesca bracteata,Fragaria,vesca,,bracteata,,,Fragaria vesca ssp. bracteata
Fritillaria affinis affinis,Fritillaria,affinis,,,,,Fritillaria affinis
Geum macrophyllum macrophyllum,Geum,macrophyllum,,,macrophyllum,,Geum macrophyllum
Grindelia hirsutula,Grindelia,hirsutula,,,,,Grindelia hirsutula var. hirsutula
Grindelia hirsutula,Grindelia,hirsutula,,,hirsutula,,Grindelia hirsutula var. hirsutula
Grindelia integrifolia,Grindelia,integrifolia,,,,,Grindelia stricta
Heuchera micrantha,Heuchera,micrantha,,,,,Heuchera micrantha var. diversifolia
Heuchera micrantha diversifolia,Heuchera,micrantha,,,diversifolia,,Heuchera micrantha var. diversifolia
Holodiscus discolor,Holodiscus,discolor,,,,,Holodiscus discolor var. discolor
Holodiscus discolor discolor,Holodiscus,discolor,,,discolor,,Holodiscus discolor var. discolor
Hordeum brachyantherum,Hordeum,brachyantherum,,,,,Hordeum brachyantherum ssp. brachyantherum
Hordeum brachyantherum brachyantherum,Hordeum,brachyantherum,,brachyantherum,,,Hordeum brachyantherum ssp. brachyantherum
Hordeum murinum,Hordeum,murinum,,,,,Hordeum murinum ssp. murinum
Hordeum murinum murinum,Hordeum,murinum,,murinum,,,Hordeum murinum ssp. murinum
Juncus arcticus,Juncus,arcticus,,,,,Juncus arcticus ssp. alaskanus
Juncus arcticus alaskanus,Juncus,arcticus,,alaskanus,,,Juncus arcticus ssp. alaskanus
Juncus bufonius,Juncus,bufonius,,,,,Juncus bufonius var. bufonius
Juncus bufonius bufonius,Juncus,bufonius,,,bufonius,,Juncus bufonius var. bufonius
Juncus effusus effusus,Juncus,effusus,,effusus,,,Juncus effusus ssp. effusus
Kalmia microphylla,Kalmia,microphylla,,,,,Kalmia microphylla var. occidentalis
Kalmia microphylla occidentalis,Kalmia,microphylla,,,occidentalis,,Kalmia microphylla var. occidentalis
Kalmia polifolia,Kalmia,polifolia,,,,,Kalmia microphylla var. occidentalis
Kalmia polifolia ssp. microphylla,Kalmia,polifolia,,microphylla,,,Kalmia microphylla var. occidentalis
Lamium hybridum,Lamium,hybridum,,,,,Lamium purpureum var. hybridum
Lamium purpureum purpureum,Lamium,purpureum,,,purpureum,,Lamium purpureum
Lathyrus nevadensis,Lathyrus,nevadensis,,,,,Lathyrus nevadensis var. pilosellus
Lathyrus nevadensis pilosellus,Lathyrus,nevadensis,,,pilosellus,,Lathyrus nevadensis var. pilosellus
Ledum groenlandicum,Ledum,groenlandicum,,,,,Rhododendron groenlandicum
Lemna minor,Lemna,minor,,,,,Lemna minuta
Leontodon saxatilis,Leontodon,saxatilis,,,,,Leontodon saxatilis ssp. saxatilis
Leontodon saxatilis saxatilis,Leontodon,saxatilis,,saxatilis,,,Leontodon saxatilis ssp. saxatilis
Leptosiphon bicolor,Leptosiphon,bicolor,,,,,Leptosiphon minimus
Leymus mollis,Leymus,mollis,,,,,Leymus mollis ssp. mollis
Leymus mollis mollis,Leymus,mollis,,mollis,,,Leymus mollis ssp. mollis
Linnaea borealis,Linnaea,borealis,,,,,Linnaea borealis ssp. longiflora
Linnaea borealis longiflora,Linnaea,borealis,,longiflora,,,Linnaea borealis ssp. longiflora
Linnaea borealis longiflora,Linnaea,borealis,,,longiflora,,Linnaea borealis ssp. longiflora
Lotus micranthus,Lotus,micranthus,,,,,Acmispon parviflorus
Luzula multiflora,Luzula,multiflora,,,,,Luzula multiflora ssp. multiflora
Luzula multiflora multiflora,Luzula,multiflora,,multiflora,,,Luzula multiflora ssp. multiflora
Lychnis coronaria,Lychnis,coronaria,,,,,Silene coronaria
Lysichiton americanum,Lysichiton,americanum,,,,,Lysichiton americanus
Lysimachia europaea,Lysimachia,europaea,,,,,Lysimachia europaea ssp. arctica
Lysimachia europaea arctica,Lysimachia,europaea,,arctica,,,Lysimachia europaea ssp. arctica
Malus domestica,Malus,domestica,,,,,Malus pumila
Malus x domestica,Malus,,Malus x domestica,Malus x domestica,,,Malus domestica
Malus x_domestica,Malus,,Malus x domestica,,,,Malus domestica
Mentha arvensis,Mentha,arvensis,,,,,Mentha canadensis
Myriophyllum verticillatum,Myriophyllum,verticillatum,,,,,Myriophyllum sp.
Nuphar polysepalum,Nuphar,polysepalum,,,,,Nuphar polysepala
Pentagramma triangularis,Pentagramma,triangularis,,,,,Pentagramma triangularis ssp. triangularis
Pentagramma triangularis triangularis,Pentagramma,triangularis,,triangularis,,,Pentagramma triangularis ssp. triangularis
Perideridia gairdneri,Perideridia,gairdneri,,,,,Perideridia montana
Phlox gracilis,Phlox,gracilis,,,,,Microsteris gracilis
Phragmites communis,Phragmites,communis,,,,,Phragmites australis ssp. americanus
Pinus contorta,Pinus,contorta,,,,,Pinus contorta ssp. contorta
Pinus contorta contorta,Pinus,contorta,,contorta,,,Pinus contorta ssp. contorta
Pinus contorta contorta,Pinus,contorta,,,contorta,,Pinus contorta ssp. contorta
Pinus ponderosa,Pinus,ponderosa,,,,,Pinus ponderosa var. ponderosa
Pinus ponderosa ponderosa,Pinus,ponderosa,,,ponderosa,,Pinus ponderosa var. ponderosa
Plantago maritima juncoides,Plantago,maritima,,juncoides,,,Plantago maritima
Plectritis brachystemon,Plectritis,brachystemon,,,,,Plectritis congesta ssp. brachystemon
Plectritis congesta,Plectritis,congesta,,,,,Plectritis congesta ssp. congesta
Plectritis congesta brachystemon,Plectritis,congesta,,brachystemon,,,Plectritis congesta ssp. congesta
Plectritis congesta congesta,Plectritis,congesta,,congesta,,,Plectritis congesta ssp. congesta
Poa bulbosa vivipara,Poa,bulbosa,,,,vivipara,Poa bulbosa
Poa secunda,Poa,secunda,,,,,Poa secunda
Poa secunda secunda,Poa,secunda,,secunda,,,Poa secunda
Poa secunda ssp. secunda,Poa,secunda,,secunda,,,Poa secunda
Polygonum amphibium,Polygonum,amphibium,,,,,Persicaria amphibia
Prunella vulgaris,Prunella,vulgaris,,,,,Prunella vulgaris var. vulgaris
Prunella vulgaris vulgaris,Prunella,vulgaris,,vulgaris,,,Prunella vulgaris var. vulgaris
Prunus emarginata,Prunus,emarginata,,,,,Prunus emarginata var. emarginata
Prunus emarginata emarginata,Prunus,emarginata,,,emarginata,,Prunus emarginata var. emarginata
Pseudotsuga menziesii,Pseudotsuga,menziesii,,,,,Pseudotsuga menziesii var. menziesii
Pseudotsuga menziesii menziesii,Pseudotsuga,menziesii,,,menziesii,,Pseudotsuga menziesii var. menziesii
Pteridium aquilinum,Pteridium,aquilinum,,,,,Pteridium aquilinum ssp. pubescens
Pteridium aquilinum pubescens,Pteridium,aquilinum,,,pubescens,,Pteridium aquilinum ssp. pubescens
Quercus garryana,Quercus,garryana,,,,,Quercus garryana var. garryana
Quercus garryana garryana,Quercus,garryana,,,garryana,,Quercus garryana var. garryana
Ranunculus flammula,Ranunculus,flammula,,,,,Ranunculus flammula var. reptans
Ranunculus flammula reptans,Ranunculus,flammula,,,reptans,,Ranunculus flammula var. reptans
Ranunculus occidentalis,Ranunculus,occidentalis,,,,,Ranunculus occidentalis var. occidentalis
Ranunculus occidentalis occidentalis,Ranunculus,occidentalis,,,occidentalis,,Ranunculus occidentalis var. occidentalis
Rhamnus purshiana,Rhamnus,purshiana,,,,,Frangula purshiana
Rhinanthus minor,Rhinanthus,minor,,,,,Rhinanthus minor ssp. minor
Rhinanthus minor minor,Rhinanthus,minor,,minor,,,Rhinanthus minor ssp. minor
Ribes divaricatum,Ribes,divaricatum,,,,,Ribes divaricatum var. divaricatum
Ribes divaricatum divaricatum,Ribes,divaricatum,,,divaricatum,,Ribes divaricatum var. divaricatum
Rosa gymnocarpa gymnocarpa,Rosa,gymnocarpa,,,gymnocarpa,,Rosa gymnocarpa
Rosa nutkana,Rosa,nutkana,,,,,Rosa nutkana ssp. nutkana
Rosa nutkana nutkana,Rosa,nutkana,,nutkana,,,Rosa nutkana ssp. nutkana
Rubus armeniacus,Rubus,armeniacus,,,,,Rubus bifrons
Rubus spectabilis spectabilis,Rubus,spectabilis,,,spectabilis,,Rubus spectabilis
Rumex salicifolius,Rumex,salicifolius,,,,,Rumex transitorius
Salicornia pacifica,Salicornia,pacifica,,,,,Salicornia pacifica
Salicornia perennis,Salicornia,perennis,,,,,Salicornia pacifica
Salix lasiandra,Salix,lasiandra,,,,,Salix lasiandra var. lasiandra
Salix lasiandra lasiandra,Salix,lasiandra,,,lasiandra,,Salix lasiandra var. lasiandra
Sambucus racemosa,Sambucus,racemosa,,,,,Sambucus racemosa var. arborescens
Sambucus racemosa arborescens,Sambucus,racemosa,,,arborescens,,Sambucus racemosa var. arborescens
Sambucus racemosa racemosa,Sambucus,racemosa,,racemosa,,,Sambucus racemosa var. arborescens
Sanicula crassicaulis,Sanicula,crassicaulis,,,,,Sanicula crassicaulis var. crassicaulis
Sanicula crassicaulis crassicaulis,Sanicula,crassicaulis,,,crassicaulis,,Sanicula crassicaulis var. crassicaulis
Sanicula crassicaulis tripartita,Sanicula,crassicaulis,,,tripartita,,Sanicula crassicaulis var. tripartita
Scirpus validus,Scirpus,validus,,,,,Schoenoplectus acutus
Sedum lanceolatum,Sedum,lanceolatum,,,,,Sedum lanceolatum var. nesioticum
Sedum lanceolatum nesioticum,Sedum,lanceolatum,,nesioticum,,,Sedum lanceolatum var. nesioticum
Sedum lanceolatum nesioticum,Sedum,lanceolatum,,,nesioticum,,Sedum lanceolatum var. nesioticum
Sedum rupestre,Sedum,rupestre,,,,,Petrosedum rupestre
Sisyrinchium idahoense,Sisyrinchium,idahoense,,,,,Sisyrinchium idahoense var. idahoense
Sisyrinchium idahoense idahoense,Sisyrinchium,idahoense,,,idahoense,,Sisyrinchium idahoense var. idahoense
Sonchus arvensis,Sonchus,arvensis,,,,,Sonchus arvensis ssp. arvensis
Sonchus arvensis arvensis,Sonchus,arvensis,,arvensis,,,Sonchus arvensis ssp. arvensis
Spergularia macrotheca,Spergularia,macrotheca,,,,,Spergularia macrotheca var. macrotheca
Spergularia macrotheca macrotheca,Spergularia,macrotheca,,,macrotheca,,Spergularia macrotheca var. macrotheca
Spiraea douglasii,Spiraea,douglasii,,,,,Spiraea douglasii var. douglasii
Spiraea douglasii douglasii,Spiraea,douglasii,,,douglasii,,Spiraea douglasii var. douglasii
Stachys chamissonis,Stachys,chamissonis,,,,,Stachys cooleyae
Stachys chamissonis cooleyae,Stachys,chamissonis,,,cooleyae,,Stachys cooleyae
Stellaria borealis,Stellaria,borealis,,,,,Stellaria borealis ssp. sitchana
Stellaria borealis sitchana,Stellaria,borealis,,sitchana,,,Stellaria borealis ssp. sitchana
Stellaria borealis sitchana,Stellaria,borealis,,,sitchana,,Stellaria borealis ssp. sitchana
Stipa lemmonnii,Stipa,lemmonnii,,,,,Eriocoma lemmonii
Symphoricarpos albus,Symphoricarpos,albus,,,,,Symphoricarpos albus var. laevigatus
Symphoricarpos albus albus,Symphoricarpos,albus,,albus,,,Symphoricarpos albus var. laevigatus
Symphoricarpos mollis hesperius,Symphoricarpos,mollis,,,hesperius,,Symphoricarpos mollis
Taraxacum officinale,Taraxacum,officinale,,,,,Taraxacum officinale agg.
Tiarella trifoliata,Tiarella,trifoliata,,,,,Tiarella trifoliata var. trifoliata
Tiarella trifoliata trifoliata,Tiarella,trifoliata,,,trifoliata,,Tiarella trifoliata var. trifoliata
Torreyochloa pallida pauciflora,Torreyochloa,pallida,,,pauciflora,,Torreyochloa pauciflora
Trientalis arctica,Trientalis,arctica,,,,,Lysimachia europaea ssp. arctica
Trifolium glomerata,Trifolium,glomerata,,,,,Trifolium glomeratum
Trifolium oligathum,Trifolium,oligathum,,,,,Trifolium oliganthum
Trifolium willdenowii,Trifolium,willdenowii,,,,,Trifolium willdenovii
Utricularia vulgaris,Utricularia,vulgaris,,,,,Utricularia vulgaris ssp. macrorhiza
Vaccinium oxycoccus,Vaccinium,oxycoccus,,,,,Vaccinium oxycoccos
Veronica peregrina,Veronica,peregrina,,,peregrina,,Veronica peregrina var. peregrina
Veronica peregrina peregrina,Veronica,peregrina,,peregrina,,,Veronica peregrina var. peregrina
Veronica serpyllifolia serpyllifolia,Veronica,serpyllifolia,,serpyllifolia,,,Veronica serpyllifolia
Vicia gigantea,Vicia,gigantea,,,,,Vicia nigricans var. gigantea
Vicia nigricans gigantea,Vicia,nigricans,,,gigantea,,Vicia nigricans var. gigantea
Vicia villosa,Vicia,villosa,,,,,Vicia villosa var. villosa
Vicia villosa villosa,Vicia,villosa,,,villosa,,Vicia villosa var. villosa
Vulpia bromoides,Vulpia,bromoides,,,,,Festuca bromoides
Yabaea microcarpa,Yabaea,microcarpa,,,,,Yabea microcarpa
Zygadenus venenosus,Zygadenus,venenosus,,,,,Toxicoscordion venenosum
