"","scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"11","Callophyllis crenulata","Setchell","","red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Callophyllis","Callophyllis crenulata",NA,NA,"",NA,"unlisted","unlisted","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027457",NA,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027457",NA,1,"reported","unobserved","barcoded",345268,"ALG"
"12","Callophyllis edentata","Kylin","","red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Callophyllis","Callophyllis edentata",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861012",NA,"2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861012",NA,2,"new 2019","observed","",895191,"ALG"
"13","Callophyllis flabellulata","Harvey","","red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Callophyllis","Callophyllis flabellulata",NA,NA,"",NA,"unlisted","unlisted","2011-05-03","G.W. Saunders & K. Hind","BOLD","GWS027403",NA,"2023-05-27","Zach Montieth","SCL","17875",NA,6,"confirmed","observed","",446885,"ALG"
"14","Callophyllis heanophylla","Setchell","","red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Callophyllis","Callophyllis heanophylla",NA,NA,"",NA,"unlisted","unlisted","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027451",NA,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027451",NA,1,"reported","unobserved","barcoded",1292323,"ALG"
"15","Callophyllis pinnata","Setchell & Swezy in Setchell","","red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Callophyllis","Callophyllis pinnata",NA,NA,"",NA,"unlisted","unlisted","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027453",NA,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027453",NA,1,"reported","unobserved","barcoded",544812,"ALG"
"16","Callophyllis schneideri","Clarkston & G.W.Saunders","","red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Callophyllis","Callophyllis schneideri",NA,NA,"",NA,"unlisted","unlisted","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027442",NA,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027442",NA,1,"reported","unobserved","barcoded",1337372,"ALG"
"17","Callophyllis variforma","Filloramo, Selivanova & G.W.Saunders","","red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Callophyllis","Callophyllis variforma",NA,NA,"",NA,"unlisted","unlisted","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027443",NA,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027443",NA,1,"reported","unobserved","barcoded",1337854,"ALG"
"18","Ceramium gardneri","Kylin","","banded weed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Ceramium","Ceramium gardneri",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25859909",NA,"2023-05-27","Zach Montieth","SCL","17897",NA,2,"new 2019","observed","",345256,"ALG"
"19","Ceramothamnion coulteri","M.J.Wynne & C.W.Schneider","","delicate sea lace","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Ceramothamnion","Ceramothamnion coulteri",NA,NA,"",NA,"unlisted","unlisted","2006-11-18","Andy Lamb","PMLS","PMLS2021:1239",NA,"2022-02-24","Andrew Simon","iNaturalist","iNat:107423009",NA,14,"confirmed","observed","",1557015,"ALG"
"20","Ceramothamnion pacificum","(Collins) M.J.Wynne & C.W.Schneider","","hairy pottery seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Ceramothamnion","Ceramothamnion pacificum",NA,NA,"",NA,"unlisted","unlisted","2006-11-11","Andy Lamb","PMLS","PMLS2021:1220",NA,"2023-05-26","Zach Montieth","SCL","17856",NA,11,"confirmed","observed","",1557577,"ALG"
"21","Chondracanthus exasperatus","(Harvey & Bailey) Hughey","","Turkish towel","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Gigartinaceae","","","Chondracanthus","Chondracanthus exasperatus",NA,NA,"",NA,"unlisted","unlisted","1996-04-02","E. Mcneil","UBC","A82321",NA,"2024-07-21","Catiemac","iNaturalist","iNat:232048062",NA,37,"confirmed","observed","",127153,"ALG"
"22","Clathromorphum sp.","","","crustose coralline","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae",NA,"Corallinales","",NA,"Corallinaceae","","","Clathromorphum","",NA,NA,"",NA,"unlisted","unlisted","1993-08-16","Andy Lamb","PMLS","PMLS2021:1054",NA,"2019-05-05","Stefania Gorgopa","PMLS","PMLS2021:2336",NA,175,"confirmed","unobserved","",326286,"ALG"
"23","Constantinea simplex","Setchell","","cup and saucer seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Dumontiaceae","","","Constantinea","Constantinea simplex",NA,NA,"",NA,"unlisted","unlisted","1995-02-24","Charlie Gibbs","PMLS","PMLS2021:1067",NA,"2009-03-20","Andy Lamb","PMLS","PMLS2021:1758",NA,9,"confirmed","unobserved","",345231,"ALG"
"24","Constantinea subulifera","Setchell","","giant cup and saucer seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Dumontiaceae","","","Constantinea","Constantinea subulifera",NA,NA,"",NA,"unlisted","unlisted","2016-02-07","Andy Lamb","PMLS","PMLS2021:2221",NA,"2019-12-09","penelopebridge","iNaturalist","iNat:36661545",NA,3,"new 2016","observed","",473053,"ALG"
"25","Corallina cf. bathybentha","","","red coralline algae","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae",NA,"Corallinales","",NA,"Corallinaceae","","","Corallina","",NA,NA,"",NA,"unlisted","unlisted","2023-06-04","Dave Zeuss Cochrane","iNaturalist","iNat:165761402",NA,"2023-06-04","Dave Zeuss Cochrane","iNaturalist","iNat:165761402",NA,1,"new 2023","observed","",1522735,"ALG"
"26","Corallina officinalis","Linnaeus","","red coralline algae","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae",NA,"Corallinales","",NA,"Corallinaceae","","","Corallina","Corallina officinalis",NA,NA,"",NA,"unlisted","unlisted","2023-06-14","Dave Zeuss Cochrane","iNaturalist","iNat:167489217",NA,"2023-06-27","Dave Zeuss Cochrane","iNaturalist","iNat:169897194",NA,5,"new 2023","observed","",123632,"ALG"
"27","Corallina vancouveriensis","Yendo","","graceful coralline","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae",NA,"Corallinales","",NA,"Corallinaceae","","","Corallina","Corallina vancouveriensis",NA,NA,"",NA,"unlisted","unlisted","1995-02-24","Charlie Gibbs","PMLS","PMLS2021:1066",NA,"2009-11-14","Andy Lamb","PMLS","PMLS2021:1876",NA,4,"confirmed","unobserved","",126448,"ALG"
"28","Cryptonemia obovata","J.Agardh 1876","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Halymeniales","",NA,"Halymeniaceae","","","Cryptonemia","Cryptonemia obovata",NA,NA,"",NA,"unlisted","unlisted","2023-05-27","Zach Montieth","SCL","17883",NA,"2023-05-27","Zach Montieth","SCL","17883",NA,1,"new 2023","unobserved","",345216,"ALG"
"29","Cryptopleura ruprechtiana","(J.Agardh) Kylin","","hidden rib","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Delesseriaceae","","Cryptopleureae","Cryptopleura","Cryptopleura ruprechtiana",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861039",NA,"2019-05-05","Bridgette Clarkston","iNaturalist","iNat:25927074",NA,2,"new 2019","observed","",327014,"ALG"
"30","Cryptosiphonia woodii","(J.Agardh) J.Agardh","","dark branching-tube seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Dumontiaceae","","","Cryptosiphonia","Cryptosiphonia woodii",NA,NA,"",NA,"unlisted","unlisted","2009-03-20","Andy Lamb","PMLS","PMLS2021:1744",NA,"2021-12-05","Andrew Simon","iNaturalist","iNat:102592154",NA,10,"confirmed","observed","",117777,"ALG"
"31","Cumathamnion decipiens","(J.Agardh) M.J.Wynne & G.W.Saunders","","winged rib","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Delesseriaceae","","","Cumathamnion","Cumathamnion decipiens",NA,NA,"",NA,"unlisted","unlisted","2006-09-28","Andy Lamb","PMLS","PMLS2021:1175",NA,"2021-04-11","Andrew Simon","iNaturalist","iNat:73718031",NA,21,"confirmed","observed","reported as Delesseria decipiens",496909,"ALG"
"32","Dasya plumosa","Harvey & Bailey","","plumose red braid","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Dasyaceae","","","Dasya","Dasya plumosa",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57500",NA,"2017-04-08","tyrelfroese","iNaturalist","iNat:5620532",NA,17,"confirmed","observed","",446890,"ALG"
"33","Devaleraea mollis","(Setchell & N.L.Gardner) G.W.Saunders, C.J.Jackson & Salomaki","","thin dulse","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","",NA,"Palmariales","",NA,"Palmariaceae","","","Devaleraea","Devaleraea mollis",NA,NA,"",NA,"unlisted","unlisted","2005-12-10","Andy Lamb","PMLS","PMLS2021:1127",NA,"2016-07-31","Andy Lamb","PMLS","PMLS2021:2286",NA,28,"confirmed","unobserved","reported as Palmaria mollis",747472,"ALG"
"34","Endocladia muricata","(Endlicher) J.Agardh","","nail brush seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Endocladiaceae","","","Endocladia","Endocladia muricata",NA,NA,"",NA,"unlisted","unlisted","2006-11-11","Andy Lamb","PMLS","PMLS2021:1214",NA,"2023-06-04","Dave Zeuss Cochrane","iNaturalist","iNat:165764697",NA,6,"confirmed","observed","",117781,"ALG"
"35","Eutrichosiphonia paniculata","(Montagne) D.E.Bustamante & T.O.Cho","","filamentous red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Eutrichosiphonia","Eutrichosiphonia paniculata",NA,NA,"",NA,"unlisted","unlisted","2023-03-15","Andrew Simon","iNaturalist","iNat:151258127",NA,"2023-03-15","Andrew Simon","iNaturalist","iNat:151258127",NA,1,"new 2023","observed","“My sequences from Hakai indicate that the BC species is distinct from the Peruvian type so a new name is needed for the species. But for now, we are still calling it Eutrichosiphonia paniculata (Sandra Lindstrom, pers. comm. 2024)",345131,"ALG"
"36","Farlowia mollis","(Harvey & Bailey) Farlow & Setchell","","tattered red seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Dumontiaceae","","","Farlowia","Farlowia mollis",NA,NA,"",NA,"unlisted","unlisted","2006-03-05","Andy Lamb","PMLS","PMLS2021:1132",NA,"2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861009",NA,2,"confirmed","observed","",117783,"ALG"
"37","Fredericqia chiton","(M.Howe) Maggs, L.Le Gall, Mineur, Provan & G.W. Saunders","","thin forked seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Phyllophoraceae","","","Fredericqia","Fredericqia chiton",NA,NA,"",NA,"unlisted","unlisted","2016-03-27","Andy Lamb","PMLS","PMLS2021:2257",NA,"2016-03-27","Andy Lamb","PMLS","PMLS2021:2257",NA,1,"new 2016","unobserved","reported as Gymnogongrus chiton",957351,"ALG"
"38","Fredericqia deveauniensis","Maggs, L.Le Gall, Mineur, Provan & G.W.Saunders","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Phyllophoraceae","","","Fredericqia","Fredericqia deveauniensis",NA,NA,"",NA,"unlisted","unlisted","2019-05-05","Bridgette Clarkston","iNaturalist","iNat:25927077",NA,"2019-05-05","Bridgette Clarkston","iNaturalist","iNat:25927077",NA,1,"new 2019","observed","",564944,"ALG"
"39","Fryeella gardneri","(Setchell) Kylin","","arched red seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Rhodymeniales","",NA,"Fryeellaceae","","","Fryeella","Fryeella gardneri",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57502",NA,"2023-05-27","Zach Montieth","SCL","17874",NA,6,"confirmed","unobserved","",500286,"ALG"
"40","Gloiocladia fryeana","(Setchell) N.Sánchez & Rodríguez-Prieto","","margined blue branching seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Rhodymeniales","",NA,"Faucheaceae","","","Gloiocladia","Gloiocladia fryeana",NA,NA,"",NA,"unlisted","unlisted","2006-09-29","Andy Lamb","PMLS","PMLS2021:1203",NA,"2006-11-18","Andy Lamb","PMLS","PMLS2021:1259",NA,2,"confirmed","unobserved","reported as Fauchea fryeana",865801,"ALG"
"41","Gloiocladia laciniata","(J.Agardh) Sánchez & Rodríguez-Prieto","","blue branching seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Rhodymeniales","",NA,"Faucheaceae","","","Gloiocladia","Gloiocladia laciniata",NA,NA,"",NA,"unlisted","unlisted","1995-02-24","Charlie Gibbs","PMLS","PMLS2021:1069",NA,"2023-12-03","Dave Zeuss Cochrane","iNaturalist","iNat:193013933",NA,57,"confirmed","observed","",429862,"ALG"
"42","Gracilaria pacifica","Abbott","","California limu","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gracilariales","",NA,"Gracilariaceae","","","Gracilaria","Gracilaria pacifica",NA,NA,"",NA,"unlisted","unlisted","1996-04-02","E. Mcneil","UBC","A82320",NA,"1996-04-02","E. Mcneil","UBC","A82320",NA,2,"reported","unobserved","",497324,"ALG"
"43","Gracilariophila oryzoides","Setchell & H.L.Wilson","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gracilariales","",NA,"Gracilariaceae","","","Gracilariophila","Gracilariophila oryzoides",NA,NA,"",NA,"unlisted","unlisted","2021-04-10","Kevin Toomer","iNaturalist","iNat:73655263",NA,"2021-04-10","Kevin Toomer","iNaturalist","iNat:73655263",NA,1,"new 2021","observed","",339047,"ALG"
"44","Gracilariopsis andersonii","(Grunow) E.Y.Dawson","","sea spaghetti","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gracilariales","",NA,"Gracilariaceae","","","Gracilariopsis","Gracilariopsis andersonii",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861429",NA,"2024-04-26","Liam Ragan","iNaturalist","iNat:209972443",NA,3,"new 2019","observed","",360321,"ALG"
"45","Griffithsia pacifica","Kylin","","orange-coloured red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Griffithsia","Griffithsia pacifica",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57492",NA,"1977-11-27","Michael W. Hawkes","UBC","A57492",NA,1,"reported","unobserved","",326993,"ALG"
"46","Halosaccion glandiforme","(S.G. Gmelin) Ruprecht","","sea sacs","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","",NA,"Palmariales","",NA,"Palmariaceae","","","Halosaccion","Halosaccion glandiforme",NA,NA,"",NA,"unlisted","unlisted","1996-09-28","Charlie Gibbs","PMLS","PMLS2021:1092",NA,"2024-06-25","Anika Chen","iNaturalist","iNat:225212299",NA,28,"confirmed","observed","",123649,"ALG"
"47","Herpochondria borealis","(Ruprecht) Barros-Barreto & Maggs","","coarse sea lace","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Herpochondria","Herpochondria borealis",NA,NA,"",NA,"unlisted","unlisted","2006-11-11","Andy Lamb","PMLS","PMLS2021:1215",NA,"2023-05-27","risao","iNaturalist","iNat:164285651",NA,18,"confirmed","observed","",1557586,"ALG"
"48","Herposiphonia plumula","(J.Agardh) Falkenberg","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Herposiphonia","Herposiphonia plumula",NA,NA,"",NA,"unlisted","unlisted","2011-05-03","G.W. Saunders & K. Hind","BOLD","GWS027411",NA,"2023-05-27","Zach Montieth","Lindstrom 2023","",NA,2,"confirmed","unobserved","""Herposiphonia plumula"" COI Sequenced; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.",1238397,"ALG"
"49","Heterosiphonia densiuscula","Kylin","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Delesseriaceae","Heterosiphonioideae","","Heterosiphonia","Heterosiphonia densiuscula",NA,NA,"",NA,"unlisted","unlisted","2023-05-27","Zach Montieth","SCL","17896",NA,"2023-05-27","Zach Montieth","SCL","17896",NA,1,"new 2023","unobserved","some have synonymized Heterosiphonia densiuscula with Dasysiphonia japonica",558074,"ALG"
"50","Hildenbrandia species complex","","","rusty rock","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","",NA,"Hildenbrandiales","",NA,"Hildenbrandiaceae","","","Hildenbrandia","",NA,NA,"",NA,"unlisted","unlisted","1994-09-10","Andy Lamb","PMLS","PMLS2021:1058",NA,"2023-12-03","Andrew Simon","iNaturalist","iNat:193004185",NA,149,"confirmed","observed","",68615,"ALG"
"51","Hymenena sp.","","","black-lined red seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Delesseriaceae","","","Hymenena","",NA,NA,"",NA,"unlisted","unlisted","2005-12-10","Andy Lamb","PMLS","PMLS2021:1122",NA,"2016-08-23","Andy Lamb","PMLS","PMLS2021:2300",NA,22,"confirmed","unobserved","",339066,"ALG"
"52","Kallymeniopsis oblongifructa","(Setchell) G.I.Hansen","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Erythrophyllum","Kallymeniopsis oblongifructa",NA,NA,"",NA,"unlisted","unlisted","2023-05-27","Zach Montieth","SCL","17895",NA,"2023-05-27","Zach Montieth","SCL","17895",NA,1,"new 2023","unobserved","reported as Kallymeniopsis oblongifructa",1503166,"ALG"
"53","Lithothamnion sp.","","","thalloid red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae",NA,"Corallinales","",NA,"Corallinaceae","","","Lithothamnion","",NA,NA,"",NA,"unlisted","unlisted","2015-01-01","Peter","iNaturalist","iNat:2797300",NA,"2023-12-03","Dave Zeuss Cochrane","iNaturalist","iNat:193013919",NA,9,"confirmed","observed","",117829,"ALG"
"54","Loranthophycus californicus","E.Y.Dawson","","parasitic red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Delesseriaceae","","","Loranthophycus","Loranthophycus californicus",NA,NA,"",NA,"unlisted","unlisted","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027463",NA,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027463",NA,1,"reported","unobserved","""Loranthophycus californicus” COI Sequenced; name updated from Holmesia californica (E.Y.Dawson) E.Y.Dawson (from algaebase, but doesn't appear to be a new update yet G&L key still lists Holmesia with no comment); for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuing taxonomy uncertain, putting name in quotes.",504865,"ALG"
