"","iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","coordinateUncertaintyInMeters"
"5187","Malacosoma californica",359294,"Malacosoma californica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Lasiocampinae","Lasiocampini","Malacosoma","californica","iNat:163871432",48.870432,-123.320928,"2023-05-26",NA,NA,"Kevin Toomer","false",21
"5188","Eupeodes volucris",322357,"Eupeodes volucris",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Syrphinae","Syrphini","Eupeodes","volucris","iNat:163872065",48.866384,-123.33436,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5189","Eupeodes volucris",322357,"Eupeodes volucris",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Syrphinae","Syrphini","Eupeodes","volucris","iNat:163872435",48.866384,-123.33436,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5190","Lycosidae",47416,"Lycosidae",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Lycosoidea","Lycosidae","","","","","iNat:163872644",48.867204,-123.338114,"2023-05-26",NA,NA,"Kevin Toomer","false",27
"5191","Lethocerus americanus",81572,"Lethocerus americanus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Nepomorpha","Nepoidea","Belostomatidae","Lethocerinae","","Lethocerus","americanus","iNat:163880347",48.948913,-123.502714,"2023-05-26",NA,NA,"","false",105
"5192","Papilionoidea",47224,"Papilionoidea",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","","","","","","iNat:163904432",48.939286,-123.493895,"2023-05-26",NA,NA,"","false",31
"5193","Limenitis lorquini",50880,"Limenitis lorquini",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Nymphalidae","Limenitidinae","Limenitidini","Limenitis","lorquini","iNat:163904643",48.928003,-123.453119,"2023-05-26",NA,NA,"","false",NA
"5194","Hemaris thetis",127170,"Hemaris thetis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Bombycoidea","Sphingidae","Macroglossinae","Dilophonotini","Hemaris","thetis","iNat:163905204",48.9392,-123.4937,"2023-05-26",NA,NA,"","false",100
"5195","Enallagma",50175,"Enallagma",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Zygoptera","","Coenagrionoidea","Coenagrionidae","","","Enallagma","","iNat:163932068",48.9432,-123.514,"2023-05-26",NA,NA,"","false",NA
"5196","Bombus sitkensis",142269,"Bombus sitkensis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","sitkensis","iNat:163934079",48.9432,-123.514,"2023-05-26",NA,NA,"","false",100
"5197","Chalcophora angulicollis",82080,"Chalcophora angulicollis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Elateriformia","Buprestoidea","Buprestidae","Chrysochroinae","Chrysochroini","Chalcophora","angulicollis","iNat:163934831",48.9447,-123.5136,"2023-05-26",NA,NA,"","false",100
"5198","Malacosoma californica",359294,"Malacosoma californica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Lasiocampinae","Lasiocampini","Malacosoma","californica","iNat:163935570",48.951404,-123.491863,"2023-05-26",NA,NA,"","false",122
